Text,Token
"/**
 * Licensed to the Apache Software Foundation (ASF) under one
 * or more contributor license agreements.  See the NOTICE file
 * distributed with this work for additional information
 * regarding copyright ownership.  The ASF licenses this file
 * to you under the Apache License, Version 2.0 (the
 * ""License""); you may not use this file except in compliance
 * with the License.  You may obtain a copy of the License at
 *
 *     http://www.apache.org/licenses/LICENSE-2.0
 *
 * Unless required by applicable law or agreed to in writing, software
 * distributed under the License is distributed on an ""AS IS"" BASIS,
 * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
 * See the License for the specific language governing permissions and
 * limitations under the License.
 */",Comment
"
",Newline
"
",Newline
package,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
ipc,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
io,Identifier
.,Punctuation
IOException,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
net,Identifier
.,Punctuation
InetSocketAddress,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
nio,Identifier
.,Punctuation
ByteBuffer,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
util,Identifier
.,Punctuation
HashMap,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
util,Identifier
.,Punctuation
List,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
util,Identifier
.,Punctuation
Map,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
util,Identifier
.,Punctuation
concurrent,Identifier
.,Punctuation
ConcurrentHashMap,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
util,Identifier
.,Punctuation
concurrent,Identifier
.,Punctuation
ExecutionException,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
util,Identifier
.,Punctuation
concurrent,Identifier
.,Punctuation
Executors,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
util,Identifier
.,Punctuation
concurrent,Identifier
.,Punctuation
ThreadFactory,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
util,Identifier
.,Punctuation
concurrent,Identifier
.,Punctuation
atomic,Identifier
.,Punctuation
AtomicInteger,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
util,Identifier
.,Punctuation
concurrent,Identifier
.,Punctuation
locks,Identifier
.,Punctuation
ReentrantReadWriteLock,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
Protocol,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
ipc,Identifier
.,Punctuation
NettyTransportCodec,Identifier
.,Punctuation
NettyDataPack,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
ipc,Identifier
.,Punctuation
NettyTransportCodec,Identifier
.,Punctuation
NettyFrameDecoder,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
ipc,Identifier
.,Punctuation
NettyTransportCodec,Identifier
.,Punctuation
NettyFrameEncoder,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
jboss,Identifier
.,Punctuation
netty,Identifier
.,Punctuation
bootstrap,Identifier
.,Punctuation
ClientBootstrap,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
jboss,Identifier
.,Punctuation
netty,Identifier
.,Punctuation
channel,Identifier
.,Punctuation
Channel,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
jboss,Identifier
.,Punctuation
netty,Identifier
.,Punctuation
channel,Identifier
.,Punctuation
ChannelEvent,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
jboss,Identifier
.,Punctuation
netty,Identifier
.,Punctuation
channel,Identifier
.,Punctuation
ChannelFactory,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
jboss,Identifier
.,Punctuation
netty,Identifier
.,Punctuation
channel,Identifier
.,Punctuation
ChannelFuture,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
jboss,Identifier
.,Punctuation
netty,Identifier
.,Punctuation
channel,Identifier
.,Punctuation
ChannelFutureListener,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
jboss,Identifier
.,Punctuation
netty,Identifier
.,Punctuation
channel,Identifier
.,Punctuation
ChannelHandlerContext,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
jboss,Identifier
.,Punctuation
netty,Identifier
.,Punctuation
channel,Identifier
.,Punctuation
ChannelPipeline,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
jboss,Identifier
.,Punctuation
netty,Identifier
.,Punctuation
channel,Identifier
.,Punctuation
ChannelPipelineFactory,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
jboss,Identifier
.,Punctuation
netty,Identifier
.,Punctuation
channel,Identifier
.,Punctuation
ChannelState,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
jboss,Identifier
.,Punctuation
netty,Identifier
.,Punctuation
channel,Identifier
.,Punctuation
ChannelStateEvent,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
jboss,Identifier
.,Punctuation
netty,Identifier
.,Punctuation
channel,Identifier
.,Punctuation
ChannelUpstreamHandler,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
jboss,Identifier
.,Punctuation
netty,Identifier
.,Punctuation
channel,Identifier
.,Punctuation
Channels,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
jboss,Identifier
.,Punctuation
netty,Identifier
.,Punctuation
channel,Identifier
.,Punctuation
ExceptionEvent,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
jboss,Identifier
.,Punctuation
netty,Identifier
.,Punctuation
channel,Identifier
.,Punctuation
MessageEvent,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
jboss,Identifier
.,Punctuation
netty,Identifier
.,Punctuation
channel,Identifier
.,Punctuation
SimpleChannelUpstreamHandler,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
jboss,Identifier
.,Punctuation
netty,Identifier
.,Punctuation
channel,Identifier
.,Punctuation
socket,Identifier
.,Punctuation
nio,Identifier
.,Punctuation
NioClientSocketChannelFactory,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
slf4j,Identifier
.,Punctuation
Logger,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
slf4j,Identifier
.,Punctuation
LoggerFactory,Identifier
;,Punctuation
"
",Newline
"
",Newline
"/**
 * A Netty-based {@link Transceiver} implementation.
 */",Comment
"
",Newline
public,Keyword
 ,Whitespace
class,Keyword
 ,Whitespace
NettyTransceiver,Identifier
 ,Whitespace
extends,Keyword
 ,Whitespace
Transceiver,Identifier
 ,Whitespace
{,Punctuation
"
",Newline
  ,Whitespace
"/** If not specified, the default connection timeout will be used (60 sec). */",Comment
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
static,Keyword
 ,Whitespace
final,Keyword
 ,Whitespace
long,Keyword
 ,Whitespace
DEFAULT_CONNECTION_TIMEOUT_MILLIS,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
60,Literal
 ,Whitespace
*,Operator
 ,Whitespace
1000L,Literal
;,Punctuation
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
static,Keyword
 ,Whitespace
final,Keyword
 ,Whitespace
String,Identifier
 ,Whitespace
NETTY_CONNECT_TIMEOUT_OPTION,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
"
",Newline
      ,Whitespace
"""connectTimeoutMillis""",String
;,Punctuation
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
static,Keyword
 ,Whitespace
final,Keyword
 ,Whitespace
String,Identifier
 ,Whitespace
NETTY_TCP_NODELAY_OPTION,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
"""tcpNoDelay""",String
;,Punctuation
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
static,Keyword
 ,Whitespace
final,Keyword
 ,Whitespace
String,Identifier
 ,Whitespace
NETTY_KEEPALIVE_OPTION,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
"""keepAlive""",String
;,Punctuation
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
static,Keyword
 ,Whitespace
final,Keyword
 ,Whitespace
boolean,Keyword
 ,Whitespace
DEFAULT_TCP_NODELAY_VALUE,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
true,Keyword
;,Punctuation
"
",Newline
  ,Whitespace
"
",Newline
  ,Whitespace
private,Keyword
 ,Whitespace
static,Keyword
 ,Whitespace
final,Keyword
 ,Whitespace
Logger,Identifier
 ,Whitespace
LOG,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
LoggerFactory,Identifier
.,Punctuation
getLogger,Identifier
(,Punctuation
NettyTransceiver,Identifier
.,Punctuation
class,Keyword
"
",Newline
      ,Whitespace
.,Punctuation
getName,Identifier
(,Punctuation
),Punctuation
),Punctuation
;,Punctuation
"
",Newline
"
",Newline
  ,Whitespace
private,Keyword
 ,Whitespace
final,Keyword
 ,Whitespace
AtomicInteger,Identifier
 ,Whitespace
serialGenerator,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
new,Keyword
 ,Whitespace
AtomicInteger,Identifier
(,Punctuation
0,Literal
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
