Text,Token
"/**
 * Licensed to the Apache Software Foundation (ASF) under one
 * or more contributor license agreements.  See the NOTICE file
 * distributed with this work for additional information
 * regarding copyright ownership.  The ASF licenses this file
 * to you under the Apache License, Version 2.0 (the
 * ""License""); you may not use this file except in compliance
 * with the License.  You may obtain a copy of the License at
 *
 *     http://www.apache.org/licenses/LICENSE-2.0
 *
 * Unless required by applicable law or agreed to in writing, software
 * distributed under the License is distributed on an ""AS IS"" BASIS,
 * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
 * See the License for the specific language governing permissions and
 * limitations under the License.
 */",Comment
"
",Newline
package,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
data,Identifier
;,Punctuation
"
",Newline
"
",Newline
/** Interface for error builders */,Comment
"
",Newline
public,Keyword
 ,Whitespace
interface,Keyword
 ,Whitespace
ErrorBuilder,Identifier
<,Operator
T,Identifier
>,Operator
 ,Whitespace
extends,Keyword
 ,Whitespace
RecordBuilder,Identifier
<,Operator
T,Identifier
>,Operator
 ,Whitespace
{,Punctuation
"
",Newline
  ,Whitespace
"
",Newline
  ,Whitespace
/** Gets the value */,Comment
"
",Newline
  ,Whitespace
Object,Identifier
 ,Whitespace
getValue,Identifier
(,Punctuation
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
"
",Newline
  ,Whitespace
/** Sets the value */,Comment
"
",Newline
  ,Whitespace
ErrorBuilder,Identifier
<,Operator
T,Identifier
>,Operator
 ,Whitespace
setValue,Identifier
(,Punctuation
Object,Identifier
 ,Whitespace
value,Identifier
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
"
",Newline
  ,Whitespace
/** Checks whether the value has been set */,Comment
"
",Newline
  ,Whitespace
boolean,Keyword
 ,Whitespace
hasValue,Identifier
(,Punctuation
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
"
",Newline
  ,Whitespace
/** Clears the value */,Comment
"
",Newline
  ,Whitespace
ErrorBuilder,Identifier
<,Operator
T,Identifier
>,Operator
 ,Whitespace
clearValue,Identifier
(,Punctuation
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
"
",Newline
  ,Whitespace
/** Gets the error cause */,Comment
"
",Newline
  ,Whitespace
Throwable,Identifier
 ,Whitespace
getCause,Identifier
(,Punctuation
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
"
",Newline
  ,Whitespace
/** Sets the error cause */,Comment
"
",Newline
  ,Whitespace
ErrorBuilder,Identifier
<,Operator
T,Identifier
>,Operator
 ,Whitespace
setCause,Identifier
(,Punctuation
Throwable,Identifier
 ,Whitespace
cause,Identifier
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
"
",Newline
  ,Whitespace
/** Checks whether the cause has been set */,Comment
"
",Newline
  ,Whitespace
boolean,Keyword
 ,Whitespace
hasCause,Identifier
(,Punctuation
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
"
",Newline
  ,Whitespace
/** Clears the cause */,Comment
"
",Newline
  ,Whitespace
ErrorBuilder,Identifier
<,Operator
T,Identifier
>,Operator
 ,Whitespace
clearCause,Identifier
(,Punctuation
),Punctuation
;,Punctuation
"
",Newline
"
",Newline
},Punctuation
"
",Newline
