Text,Token
"/**
 * Licensed to the Apache Software Foundation (ASF) under one
 * or more contributor license agreements.  See the NOTICE file
 * distributed with this work for additional information
 * regarding copyright ownership.  The ASF licenses this file
 * to you under the Apache License, Version 2.0 (the
 * ""License""); you may not use this file except in compliance
 * with the License.  You may obtain a copy of the License at
 *
 *     http://www.apache.org/licenses/LICENSE-2.0
 *
 * Unless required by applicable law or agreed to in writing, software
 * distributed under the License is distributed on an ""AS IS"" BASIS,
 * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
 * See the License for the specific language governing permissions and
 * limitations under the License.
 */",Comment
"
",Newline
package,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
specific,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
Schema,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
data,Identifier
.,Punctuation
RecordBuilderBase,Identifier
;,Punctuation
"
",Newline
"
",Newline
"/**
 * Abstract base class for specific RecordBuilder implementations.
 * Not thread-safe.
 */",Comment
"
",Newline
abstract,Keyword
 ,Whitespace
public,Keyword
 ,Whitespace
class,Keyword
 ,Whitespace
SpecificRecordBuilderBase,Identifier
<,Operator
T,Identifier
 ,Whitespace
extends,Keyword
 ,Whitespace
SpecificRecord,Identifier
>,Operator
 ,Whitespace
"
",Newline
  ,Whitespace
extends,Keyword
 ,Whitespace
RecordBuilderBase,Identifier
<,Operator
T,Identifier
>,Operator
 ,Whitespace
{,Punctuation
"
",Newline
  ,Whitespace
"
",Newline
  ,Whitespace
"/**
   * Creates a SpecificRecordBuilderBase for building records of the given type.
   * @param schema the schema associated with the record class.
   */",Comment
"
",Newline
  ,Whitespace
protected,Keyword
 ,Whitespace
SpecificRecordBuilderBase,Identifier
(,Punctuation
Schema,Identifier
 ,Whitespace
schema,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
super,Keyword
(,Punctuation
schema,Identifier
",",Punctuation
 ,Whitespace
SpecificData,Identifier
.,Punctuation
get,Identifier
(,Punctuation
),Punctuation
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
  ,Whitespace
"
",Newline
  ,Whitespace
"/**
   * SpecificRecordBuilderBase copy constructor.
   * @param other SpecificRecordBuilderBase instance to copy.
   */",Comment
"
",Newline
  ,Whitespace
protected,Keyword
 ,Whitespace
SpecificRecordBuilderBase,Identifier
(,Punctuation
SpecificRecordBuilderBase,Identifier
<,Operator
T,Identifier
>,Operator
 ,Whitespace
other,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
super,Keyword
(,Punctuation
other,Identifier
",",Punctuation
 ,Whitespace
SpecificData,Identifier
.,Punctuation
get,Identifier
(,Punctuation
),Punctuation
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
  ,Whitespace
"
",Newline
  ,Whitespace
"/**
   * Creates a SpecificRecordBuilderBase by copying an existing record instance.
   * @param other the record instance to copy.
   */",Comment
"
",Newline
  ,Whitespace
protected,Keyword
 ,Whitespace
SpecificRecordBuilderBase,Identifier
(,Punctuation
T,Identifier
 ,Whitespace
other,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
super,Keyword
(,Punctuation
other,Identifier
.,Punctuation
getSchema,Identifier
(,Punctuation
),Punctuation
",",Punctuation
 ,Whitespace
SpecificData,Identifier
.,Punctuation
get,Identifier
(,Punctuation
),Punctuation
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
},Punctuation
"
",Newline
