Text,Token
"/**
 * Licensed to the Apache Software Foundation (ASF) under one
 * or more contributor license agreements.  See the NOTICE file
 * distributed with this work for additional information
 * regarding copyright ownership.  The ASF licenses this file
 * to you under the Apache License, Version 2.0 (the
 * ""License""); you may not use this file except in compliance
 * with the License.  You may obtain a copy of the License at
 *
 *     http://www.apache.org/licenses/LICENSE-2.0
 *
 * Unless required by applicable law or agreed to in writing, software
 * distributed under the License is distributed on an ""AS IS"" BASIS,
 * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
 * See the License for the specific language governing permissions and
 * limitations under the License.
 */",Comment
"
",Newline
"
",Newline
package,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
mojo,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
io,Identifier
.,Punctuation
File,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
io,Identifier
.,Punctuation
IOException,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
net,Identifier
.,Punctuation
URL,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
net,Identifier
.,Punctuation
URLClassLoader,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
util,Identifier
.,Punctuation
ArrayList,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
util,Identifier
.,Punctuation
List,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
Protocol,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
compiler,Identifier
.,Punctuation
idl,Identifier
.,Punctuation
Idl,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
compiler,Identifier
.,Punctuation
idl,Identifier
.,Punctuation
ParseException,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
compiler,Identifier
.,Punctuation
specific,Identifier
.,Punctuation
SpecificCompiler,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
generic,Identifier
.,Punctuation
GenericData,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
maven,Identifier
.,Punctuation
artifact,Identifier
.,Punctuation
DependencyResolutionRequiredException,Identifier
;,Punctuation
"
",Newline
"
",Newline
"/**
 * Generate Java classes and interfaces from AvroIDL files (.avdl)
 * 
 * @goal idl-protocol
 * @requiresDependencyResolution runtime
 * @phase generate-sources
 * @threadSafe
 */",Comment
"
",Newline
public,Keyword
 ,Whitespace
class,Keyword
 ,Whitespace
IDLProtocolMojo,Identifier
 ,Whitespace
extends,Keyword
 ,Whitespace
AbstractAvroMojo,Identifier
 ,Whitespace
{,Punctuation
"
",Newline
  ,Whitespace
"/**
   * A set of Ant-like inclusion patterns used to select files from the source
   * directory for processing. By default, the pattern
   * <code>**&#47;*.avdl</code> is used to select IDL files.
   * 
   * @parameter
   */",Comment
"
",Newline
  ,Whitespace
private,Keyword
 ,Whitespace
String,Identifier
[,Punctuation
],Punctuation
 ,Whitespace
includes,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
new,Keyword
 ,Whitespace
String,Identifier
[,Punctuation
],Punctuation
 ,Whitespace
{,Punctuation
 ,Whitespace
"""**/*.avdl""",String
 ,Whitespace
},Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
"
",Newline
  ,Whitespace
"/**
   * A set of Ant-like inclusion patterns used to select files from the source
   * directory for processing. By default, the pattern
   * <code>**&#47;*.avdl</code> is used to select IDL files.
   * 
   * @parameter
   */",Comment
"
",Newline
  ,Whitespace
private,Keyword
 ,Whitespace
String,Identifier
[,Punctuation
],Punctuation
 ,Whitespace
testIncludes,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
new,Keyword
 ,Whitespace
String,Identifier
[,Punctuation
],Punctuation
 ,Whitespace
{,Punctuation
 ,Whitespace
"""**/*.avdl""",String
 ,Whitespace
},Punctuation
;,Punctuation
"
",Newline
"
",Newline
  ,Whitespace
@,Punctuation
Override,Identifier
"
",Newline
  ,Whitespace
protected,Keyword
 ,Whitespace
void,Keyword
 ,Whitespace
doCompile,Identifier
(,Punctuation
String,Identifier
 ,Whitespace
filename,Identifier
",",Punctuation
 ,Whitespace
File,Identifier
 ,Whitespace
sourceDirectory,Identifier
",",Punctuation
 ,Whitespace
File,Identifier
 ,Whitespace
outputDirectory,Identifier
),Punctuation
 ,Whitespace
throws,Keyword
 ,Whitespace
IOException,Identifier
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
try,Keyword
 ,Whitespace
{,Punctuation
"
",Newline
      ,Whitespace
@,Punctuation
SuppressWarnings,Identifier
(,Punctuation
"""rawtypes""",String
),Punctuation
"
",Newline
      ,Whitespace
List,Identifier
 ,Whitespace
runtimeClasspathElements,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
project,Identifier
.,Punctuation
getRuntimeClasspathElements,Identifier
(,Punctuation
),Punctuation
;,Punctuation
"
",Newline
      ,Whitespace
Idl,Identifier
 ,Whitespace
parser,Identifier
;,Punctuation
"
",Newline
"
",Newline
      ,Whitespace
List,Identifier
<,Operator
URL,Identifier
>,Operator
 ,Whitespace
runtimeUrls,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
new,Keyword
 ,Whitespace
ArrayList,Identifier
<,Operator
URL,Identifier
>,Operator
(,Punctuation
),Punctuation
;,Punctuation
"
",Newline
"
",Newline
      ,Whitespace
// Add the source directory of avro files to the classpath so that,Comment
"
",Newline
      ,Whitespace
// imports can refer to other idl files as classpath resources,Comment
"
",Newline
      ,Whitespace
runtimeUrls,Identifier
.,Punctuation
add,Identifier
(,Punctuation
sourceDirectory,Identifier
.,Punctuation
toURI,Identifier
(,Punctuation
),Punctuation
.,Punctuation
toURL,Identifier
(,Punctuation
),Punctuation
),Punctuation
;,Punctuation
"
",Newline
"
",Newline
      ,Whitespace
// If runtimeClasspathElements is not empty values add its values to Idl path.,Comment
"
",Newline
      ,Whitespace
if,Keyword
 ,Whitespace
(,Punctuation
runtimeClasspathElements,Identifier
 ,Whitespace
!=,Operator
 ,Whitespace
null,Keyword
 ,Whitespace
&&,Operator
 ,Whitespace
!,Operator
runtimeClasspathElements,Identifier
.,Punctuation
isEmpty,Identifier
(,Punctuation
),Punctuation
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
        ,Whitespace
for,Keyword
 ,Whitespace
(,Punctuation
Object,Identifier
 ,Whitespace
runtimeClasspathElement,Identifier
 ,Whitespace
:,Operator
 ,Whitespace
runtimeClasspathElements,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
          ,Whitespace
String,Identifier
 ,Whitespace
element,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
(,Punctuation
String,Identifier
),Punctuation
 ,Whitespace
runtimeClasspathElement,Identifier
;,Punctuation
"
",Newline
          ,Whitespace
runtimeUrls,Identifier
.,Punctuation
add,Identifier
(,Punctuation
new,Keyword
 ,Whitespace
File,Identifier
(,Punctuation
element,Identifier
),Punctuation
.,Punctuation
toURI,Identifier
(,Punctuation
),Punctuation
.,Punctuation
toURL,Identifier
(,Punctuation
),Punctuation
),Punctuation
;,Punctuation
"
",Newline
      ,Whitespace
},Punctuation
"
",Newline
      ,Whitespace
},Punctuation
"
",Newline
"
",Newline
      ,Whitespace
URLClassLoader,Identifier
 ,Whitespace
projPathLoader,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
new,Keyword
 ,Whitespace
URLClassLoader,Identifier
"
",Newline
          ,Whitespace
(,Punctuation
runtimeUrls,Identifier
.,Punctuation
toArray,Identifier
(,Punctuation
new,Keyword
 ,Whitespace
URL,Identifier
[,Punctuation
0,Literal
],Punctuation
),Punctuation
",",Punctuation
 ,Whitespace
Thread,Identifier
.,Punctuation
currentThread,Identifier
(,Punctuation
),Punctuation
.,Punctuation
getContextClassLoader,Identifier
(,Punctuation
),Punctuation
),Punctuation
;,Punctuation
"
",Newline
        ,Whitespace
parser,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
new,Keyword
 ,Whitespace
Idl,Identifier
(,Punctuation
new,Keyword
 ,Whitespace
File,Identifier
(,Punctuation
sourceDirectory,Identifier
",",Punctuation
 ,Whitespace
filename,Identifier
),Punctuation
",",Punctuation
 ,Whitespace
projPathLoader,Identifier
),Punctuation
;,Punctuation
"
",Newline
"
",Newline
      ,Whitespace
Protocol,Identifier
 ,Whitespace
p,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
parser,Identifier
.,Punctuation
CompilationUnit,Identifier
(,Punctuation
),Punctuation
;,Punctuation
"
",Newline
      ,Whitespace
String,Identifier
 ,Whitespace
json,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
p,Identifier
.,Punctuation
toString,Identifier
(,Punctuation
true,Keyword
),Punctuation
;,Punctuation
"
",Newline
      ,Whitespace
Protocol,Identifier
 ,Whitespace
protocol,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
Protocol,Identifier
.,Punctuation
parse,Identifier
(,Punctuation
json,Identifier
),Punctuation
;,Punctuation
"
",Newline
      ,Whitespace
SpecificCompiler,Identifier
 ,Whitespace
compiler,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
new,Keyword
 ,Whitespace
SpecificCompiler,Identifier
(,Punctuation
protocol,Identifier
),Punctuation
;,Punctuation
"
",Newline
      ,Whitespace
compiler,Identifier
.,Punctuation
setStringType,Identifier
(,Punctuation
GenericData,Identifier
.,Punctuation
StringType,Identifier
.,Punctuation
valueOf,Identifier
(,Punctuation
stringType,Identifier
),Punctuation
),Punctuation
;,Punctuation
"
",Newline
      ,Whitespace
compiler,Identifier
.,Punctuation
setTemplateDir,Identifier
(,Punctuation
templateDirectory,Identifier
),Punctuation
;,Punctuation
"
",Newline
      ,Whitespace
compiler,Identifier
.,Punctuation
setFieldVisibility,Identifier
(,Punctuation
getFieldVisibility,Identifier
(,Punctuation
),Punctuation
),Punctuation
;,Punctuation
"
",Newline
      ,Whitespace
compiler,Identifier
