Text,Token
"/**
 * Licensed to the Apache Software Foundation (ASF) under one
 * or more contributor license agreements.  See the NOTICE file
 * distributed with this work for additional information
 * regarding copyright ownership.  The ASF licenses this file
 * to you under the Apache License, Version 2.0 (the
 * ""License""); you may not use this file except in compliance
 * with the License.  You may obtain a copy of the License at
 *
 *     http://www.apache.org/licenses/LICENSE-2.0
 *
 * Unless required by applicable law or agreed to in writing, software
 * distributed under the License is distributed on an ""AS IS"" BASIS,
 * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or
 * implied.  See the License for the specific language governing
 * permissions and limitations under the License.
 */",Comment
"
",Newline
"
",Newline
package,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
;,Punctuation
"
",Newline
"
",Newline
"/**
 * Thrown when {@link SchemaValidator} fails to validate a schema.
 */",Comment
"
",Newline
public,Keyword
 ,Whitespace
class,Keyword
 ,Whitespace
SchemaValidationException,Identifier
 ,Whitespace
extends,Keyword
 ,Whitespace
Exception,Identifier
 ,Whitespace
{,Punctuation
"
",Newline
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
SchemaValidationException,Identifier
(,Punctuation
Schema,Identifier
 ,Whitespace
reader,Identifier
",",Punctuation
 ,Whitespace
Schema,Identifier
 ,Whitespace
writer,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
super,Keyword
(,Punctuation
getMessage,Identifier
(,Punctuation
reader,Identifier
",",Punctuation
 ,Whitespace
writer,Identifier
),Punctuation
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
SchemaValidationException,Identifier
(,Punctuation
Schema,Identifier
 ,Whitespace
reader,Identifier
",",Punctuation
 ,Whitespace
Schema,Identifier
 ,Whitespace
writer,Identifier
",",Punctuation
"
",Newline
      ,Whitespace
Throwable,Identifier
 ,Whitespace
cause,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
super,Keyword
(,Punctuation
getMessage,Identifier
(,Punctuation
reader,Identifier
",",Punctuation
 ,Whitespace
writer,Identifier
),Punctuation
",",Punctuation
 ,Whitespace
cause,Identifier
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
private,Keyword
 ,Whitespace
static,Keyword
 ,Whitespace
String,Identifier
 ,Whitespace
getMessage,Identifier
(,Punctuation
Schema,Identifier
 ,Whitespace
reader,Identifier
",",Punctuation
 ,Whitespace
Schema,Identifier
 ,Whitespace
writer,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
return,Keyword
 ,Whitespace
"""Unable to read schema: \n""",String
"
",Newline
        ,Whitespace
+,Operator
 ,Whitespace
writer,Identifier
.,Punctuation
toString,Identifier
(,Punctuation
true,Keyword
),Punctuation
 ,Whitespace
+,Operator
 ,Whitespace
"""\nusing schema:\n""",String
 ,Whitespace
+,Operator
 ,Whitespace
reader,Identifier
.,Punctuation
toString,Identifier
(,Punctuation
true,Keyword
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
},Punctuation
"
",Newline
