Text,Token
"/**
 * Licensed to the Apache Software Foundation (ASF) under one
 * or more contributor license agreements.  See the NOTICE file
 * distributed with this work for additional information
 * regarding copyright ownership.  The ASF licenses this file
 * to you under the Apache License, Version 2.0 (the
 * ""License""); you may not use this file except in compliance
 * with the License.  You may obtain a copy of the License at
 *
 *     http://www.apache.org/licenses/LICENSE-2.0
 *
 * Unless required by applicable law or agreed to in writing, software
 * distributed under the License is distributed on an ""AS IS"" BASIS,
 * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
 * See the License for the specific language governing permissions and
 * limitations under the License.
 */",Comment
"
",Newline
"
",Newline
package,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
ipc,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
io,Identifier
.,Punctuation
IOException,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
nio,Identifier
.,Punctuation
ByteBuffer,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
util,Identifier
.,Punctuation
List,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
javax,Identifier
.,Punctuation
servlet,Identifier
.,Punctuation
ServletException,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
javax,Identifier
.,Punctuation
servlet,Identifier
.,Punctuation
http,Identifier
.,Punctuation
HttpServlet,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
javax,Identifier
.,Punctuation
servlet,Identifier
.,Punctuation
http,Identifier
.,Punctuation
HttpServletRequest,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
javax,Identifier
.,Punctuation
servlet,Identifier
.,Punctuation
http,Identifier
.,Punctuation
HttpServletResponse,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
AvroRuntimeException,Identifier
;,Punctuation
"
",Newline
"
",Newline
/** An {@link HttpServlet} that responds to Avro RPC requests. */,Comment
"
",Newline
public,Keyword
 ,Whitespace
class,Keyword
 ,Whitespace
ResponderServlet,Identifier
 ,Whitespace
extends,Keyword
 ,Whitespace
HttpServlet,Identifier
 ,Whitespace
{,Punctuation
"
",Newline
  ,Whitespace
private,Keyword
 ,Whitespace
Responder,Identifier
 ,Whitespace
responder,Identifier
;,Punctuation
"
",Newline
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
ResponderServlet,Identifier
(,Punctuation
Responder,Identifier
 ,Whitespace
responder,Identifier
),Punctuation
 ,Whitespace
throws,Keyword
 ,Whitespace
IOException,Identifier
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
this,Keyword
.,Punctuation
responder,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
responder,Identifier
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
@,Punctuation
Override,Identifier
"
",Newline
  ,Whitespace
protected,Keyword
 ,Whitespace
void,Keyword
 ,Whitespace
doPost,Identifier
(,Punctuation
HttpServletRequest,Identifier
 ,Whitespace
request,Identifier
",",Punctuation
"
",Newline
                        ,Whitespace
HttpServletResponse,Identifier
 ,Whitespace
response,Identifier
),Punctuation
"
",Newline
    ,Whitespace
throws,Keyword
 ,Whitespace
IOException,Identifier
",",Punctuation
 ,Whitespace
ServletException,Identifier
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
response,Identifier
.,Punctuation
setContentType,Identifier
(,Punctuation
HttpTransceiver,Identifier
.,Punctuation
CONTENT_TYPE,Identifier
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
List,Identifier
<,Operator
ByteBuffer,Identifier
>,Operator
 ,Whitespace
requestBufs,Identifier
 ,Whitespace
=,Operator
"
",Newline
      ,Whitespace
HttpTransceiver,Identifier
.,Punctuation
readBuffers,Identifier
(,Punctuation
request,Identifier
.,Punctuation
getInputStream,Identifier
(,Punctuation
),Punctuation
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
try,Keyword
 ,Whitespace
{,Punctuation
"
",Newline
      ,Whitespace
List,Identifier
<,Operator
ByteBuffer,Identifier
>,Operator
 ,Whitespace
responseBufs,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
responder,Identifier
.,Punctuation
respond,Identifier
(,Punctuation
requestBufs,Identifier
),Punctuation
;,Punctuation
"
",Newline
      ,Whitespace
response,Identifier
.,Punctuation
setContentLength,Identifier
(,Punctuation
HttpTransceiver,Identifier
.,Punctuation
getLength,Identifier
(,Punctuation
responseBufs,Identifier
),Punctuation
),Punctuation
;,Punctuation
"
",Newline
      ,Whitespace
HttpTransceiver,Identifier
.,Punctuation
writeBuffers,Identifier
(,Punctuation
responseBufs,Identifier
",",Punctuation
 ,Whitespace
response,Identifier
.,Punctuation
getOutputStream,Identifier
(,Punctuation
),Punctuation
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
},Punctuation
 ,Whitespace
catch,Keyword
 ,Whitespace
(,Punctuation
AvroRuntimeException,Identifier
 ,Whitespace
e,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
      ,Whitespace
throw,Keyword
 ,Whitespace
new,Keyword
 ,Whitespace
ServletException,Identifier
(,Punctuation
e,Identifier
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
},Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
},Punctuation
"
",Newline
"
",Newline
