Text,Token
"/**
 * Licensed to the Apache Software Foundation (ASF) under one
 * or more contributor license agreements.  See the NOTICE file
 * distributed with this work for additional information
 * regarding copyright ownership.  The ASF licenses this file
 * to you under the Apache License, Version 2.0 (the
 * ""License""); you may not use this file except in compliance
 * with the License.  You may obtain a copy of the License at
 *
 *     http://www.apache.org/licenses/LICENSE-2.0
 *
 * Unless required by applicable law or agreed to in writing, software
 * distributed under the License is distributed on an ""AS IS"" BASIS,
 * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
 * See the License for the specific language governing permissions and
 * limitations under the License.
 */",Comment
"
",Newline
package,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
mapred,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
util,Identifier
.,Punctuation
Collections,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
util,Identifier
.,Punctuation
HashMap,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
util,Identifier
.,Punctuation
Map,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
Schema,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
SchemaParseException,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
commons,Identifier
.,Punctuation
codec,Identifier
.,Punctuation
binary,Identifier
.,Punctuation
Base64,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
hadoop,Identifier
.,Punctuation
fs,Identifier
.,Punctuation
Path,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
hadoop,Identifier
.,Punctuation
mapred,Identifier
.,Punctuation
JobConf,Identifier
;,Punctuation
"
",Newline
"
",Newline
"/**
 * This class supports Avro-MapReduce jobs that have multiple input paths with
 * a different {@link Schema} and {@link AvroMapper} for each path.
 *
 * <p>
 * Usage:
 * </p>
 * <p>
 * <strong>Case 1: (ReflectData based inputs)</strong>
 * </p>
 * <pre>
 * // Enable ReflectData usage across job.
 * AvroJob.setReflect(job);
 *
 * Schema type1Schema = ReflectData.get().getSchema(Type1Record.class)
 * AvroMultipleInputs.addInputPath(job, inputPath1, type1Schema, Type1AvroMapper.class);
 * </pre>
 *
 * Where Type1AvroMapper would be implemented as
 * <pre>
 *  class Type1AvroMapper extends AvroMapper&lt;Type1Record, Pair&lt;ComparingKeyRecord, CommonValueRecord&gt;&gt;
 * </pre>
 *
 * <pre>
 * Schema type2Schema = ReflectData.get().getSchema(Type2Record.class)
 * AvroMultipleInputs.addInputPath(job, inputPath2, type2Schema, Type2AvroMapper.class);
 * </pre>
 *
 * Where Type2AvroMapper would be implemented as
 * <pre>
 *  class Type2AvroMapper extends AvroMapper&lt;Type2Record, Pair&lt;ComparingKeyRecord, CommonValueRecord&gt;&gt;
 * </pre>
 *
 * <p>
 * <strong>Case 2: (SpecificData based inputs)</strong>
 * </p>
 *
 * <pre>
 * Schema type1Schema = Type1Record.SCHEMA$;
 * AvroMultipleInputs.addInputPath(job, inputPath1, type1Schema, Type1AvroMapper.class);
 * </pre>
 *
 * Where Type1AvroMapper would be implemented as
 * <pre>
 *  class Type1AvroMapper extends AvroMapper&lt;Type1Record, Pair&lt;ComparingKeyRecord, CommonValueRecord&gt;&gt;
 * </pre>
 *
 * <pre>
 * Schema type2Schema = Type2Record.SCHEMA$;
 * AvroMultipleInputs.addInputPath(job, inputPath2, type2Schema, Type2AvroMapper.class);
 * </pre>
 *
 * Where Type2AvroMapper would be implemented as
 * <pre>
 *  class Type2AvroMapper extends AvroMapper&lt;Type2Record, Pair&lt;ComparingKeyRecord, CommonValueRecord&gt;&gt;
 * </pre>
 *
 * <p>
 * <strong>Note on InputFormat:</strong>
 *   The InputFormat used will always be {@link AvroInputFormat} when using this class.
 * </p>
 * <p>
 * <strong>Note on collector outputs:</strong>
 *   When using this class, you will need to ensure that the mapper implementations
 *   involved must all emit the same Key type and Value
 *   record types, as set by {@link AvroJob#setOutputSchema(JobConf, Schema)}
 *   or {@link AvroJob#setMapOutputSchema(JobConf, Schema)}.
 * </p>
 */",Comment
"
",Newline
public,Keyword
 ,Whitespace
class,Keyword
 ,Whitespace
AvroMultipleInputs,Identifier
 ,Whitespace
{,Punctuation
"
",Newline
  ,Whitespace
private,Keyword
 ,Whitespace
static,Keyword
 ,Whitespace
String,Identifier
 ,Whitespace
schemaKey,Identifier
 ,Whitespace
=,Operator
"
",Newline
      ,Whitespace
"""avro.mapreduce.input.multipleinputs.dir.schemas""",String
;,Punctuation
"
",Newline
  ,Whitespace
private,Keyword
 ,Whitespace
static,Keyword
 ,Whitespace
String,Identifier
 ,Whitespace
mappersKey,Identifier
 ,Whitespace
=,Operator
"
",Newline
      ,Whitespace
"""avro.mapreduce.input.multipleinputs.dir.mappers""",String
;,Punctuation
"
",Newline
  ,Whitespace
"/**
   * Add a {@link Path} with a custom {@link Schema} to the list of
   * inputs for the map-reduce job.
   *
   * @param conf The configuration of the job
   * @param path {@link Path} to be added to the list of inputs for the job
   * @param inputSchema {@link Schema} class to use for this path
   */",Comment
"
",Newline
  ,Whitespace
private,Keyword
 ,Whitespace
static,Keyword
 ,Whitespace
void,Keyword
 ,Whitespace
addInputPath,Identifier
(,Punctuation
JobConf,Identifier
 ,Whitespace
conf,Identifier
",",Punctuation
 ,Whitespace
Path,Identifier
 ,Whitespace
path,Identifier
",",Punctuation
"
",Newline
      ,Whitespace
Schema,Identifier
 ,Whitespace
inputSchema,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
"
",Newline
    ,Whitespace
String,Identifier
 ,Whitespace
schemaMapping,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
path,Identifier
.,Punctuation
toString,Identifier
(,Punctuation
),Punctuation
 ,Whitespace
+,Operator
 ,Whitespace
""";""",String
"
",Newline
       ,Whitespace
+,Operator
 ,Whitespace
toBase64,Identifier
(,Punctuation
inputSchema,Identifier
.,Punctuation
toString,Identifier
(,Punctuation
),Punctuation
),Punctuation
;,Punctuation
"
",Newline
"
",Newline
    ,Whitespace
String,Identifier
 ,Whitespace
schemas,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
conf,Identifier
.,Punctuation
get,Identifier
(,Punctuation
schemaKey,Identifier
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
conf,Identifier
.,Punctuation
set,Identifier
(,Punctuation
schemaKey,Identifier
",",Punctuation
"
",Newline
        ,Whitespace
schemas,Identifier
 ,Whitespace
==,Operator
 ,Whitespace
null,Keyword
 ,Whitespace
?,Operator
 ,Whitespace
schemaMapping,Identifier
 ,Whitespace
:,Operator
 ,Whitespace
schemas,Identifier
 ,Whitespace
+,Operator
 ,Whitespace
""",""",String
"
",Newline
            ,Whitespace
+,Operator
 ,Whitespace
schemaMapping,Identifier
),Punctuation
;,Punctuation
"
",Newline
"
",Newline
    ,Whitespace
conf,Identifier
.,Punctuation
setInputFormat,Identifier
(,Punctuation
DelegatingInputFormat,Identifier
.,Punctuation
class,Keyword
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
"/**
   * Add a {@link Path} with a custom {@link Schema} and
   * {@link AvroMapper} to the list of inputs for the map-reduce job.
   *
   * @param conf The configuration of the job
   * @param path {@link Path} to be added to the list of inputs for the job
   * @param inputSchema {@link Schema} to use for this path
   * @param mapperClass {@link AvroMapper} class to use for this path
   */",Comment
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
static,Keyword
 ,Whitespace
void,Keyword
 ,Whitespace
addInputPath,Identifier
(,Punctuation
JobConf,Identifier
 ,Whitespace
conf,Identifier
",",Punctuation
 ,Whitespace
Path,Identifier
 ,Whitespace
path,Identifier
",",Punctuation
"
",Newline
      ,Whitespace
Class,Identifier
<,Operator
?,Operator
 ,Whitespace
extends,Keyword
 ,Whitespace
AvroMapper,Identifier
>,Operator
 ,Whitespace
mapperClass,Identifier
",",Punctuation
"
",Newline
      ,Whitespace
Schema,Identifier
 ,Whitespace
inputSchema,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
"
",Newline
    ,Whitespace
addInputPath,Identifier
(,Punctuation
conf,Identifier
",",Punctuation
 ,Whitespace
path,Identifier
",",Punctuation
 ,Whitespace
inputSchema,Identifier
),Punctuation
;,Punctuation
"
",Newline
"
",Newline
    ,Whitespace
String,Identifier
 ,Whitespace
mapperMapping,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
path,Identifier
.,Punctuation
toString,Identifier
(,Punctuation
),Punctuation
 ,Whitespace
+,Operator
 ,Whitespace
""";""",String
 ,Whitespace
+,Operator
 ,Whitespace
mapperClass,Identifier
.,Punctuation
getName,Identifier
(,Punctuation
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
System,Identifier
.,Punctuation
out,Identifier
.,Punctuation
println,Identifier
(,Punctuation
mapperMapping,Identifier
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
String,Identifier
 ,Whitespace
mappers,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
conf,Identifier
.,Punctuation
get,Identifier
(,Punctuation
mappersKey,Identifier
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
conf,Identifier
.,Punctuation
set,Identifier
(,Punctuation
mappersKey,Identifier
",",Punctuation
 ,Whitespace
mappers,Identifier
 ,Whitespace
==,Operator
 ,Whitespace
null,Keyword
 ,Whitespace
?,Operator
 ,Whitespace
mapperMapping,Identifier
"
",Newline
       ,Whitespace
:,Operator
 ,Whitespace
mappers,Identifier
 ,Whitespace
+,Operator
 ,Whitespace
""",""",String
 ,Whitespace
+,Operator
 ,Whitespace
mapperMapping,Identifier
),Punctuation
;,Punctuation
"
",Newline
"
",Newline
    ,Whitespace
conf,Identifier
.,Punctuation
setMapperClass,Identifier
(,Punctuation
DelegatingMapper,Identifier
.,Punctuation
class,Keyword
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
