Text,Token
"/**
 * Licensed to the Apache Software Foundation (ASF) under one
 * or more contributor license agreements.  See the NOTICE file
 * distributed with this work for additional information
 * regarding copyright ownership.  The ASF licenses this file
 * to you under the Apache License, Version 2.0 (the
 * ""License""); you may not use this file except in compliance
 * with the License.  You may obtain a copy of the License at
 *
 *     http://www.apache.org/licenses/LICENSE-2.0
 *
 * Unless required by applicable law or agreed to in writing, software
 * distributed under the License is distributed on an ""AS IS"" BASIS,
 * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
 * See the License for the specific language governing permissions and
 * limitations under the License.
 */",Comment
"
",Newline
package,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
tool,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
io,Identifier
.,Punctuation
InputStream,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
io,Identifier
.,Punctuation
PrintStream,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
util,Identifier
.,Punctuation
List,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
joptsimple,Identifier
.,Punctuation
OptionParser,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
joptsimple,Identifier
.,Punctuation
OptionSet,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
joptsimple,Identifier
.,Punctuation
OptionSpec,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
Schema,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
file,Identifier
.,Punctuation
FileReader,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
file,Identifier
.,Punctuation
DataFileReader,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
io,Identifier
.,Punctuation
DatumWriter,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
generic,Identifier
.,Punctuation
GenericDatumReader,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
generic,Identifier
.,Punctuation
GenericDatumWriter,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
io,Identifier
.,Punctuation
EncoderFactory,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
io,Identifier
.,Punctuation
JsonEncoder,Identifier
;,Punctuation
"
",Newline
"
",Newline
/** Reads a data file and dumps to JSON */,Comment
"
",Newline
public,Keyword
 ,Whitespace
class,Keyword
 ,Whitespace
DataFileReadTool,Identifier
 ,Whitespace
implements,Keyword
 ,Whitespace
Tool,Identifier
 ,Whitespace
{,Punctuation
"
",Newline
"
",Newline
  ,Whitespace
@,Punctuation
Override,Identifier
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
String,Identifier
 ,Whitespace
getName,Identifier
(,Punctuation
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
return,Keyword
 ,Whitespace
"""tojson""",String
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
@,Punctuation
Override,Identifier
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
String,Identifier
 ,Whitespace
getShortDescription,Identifier
(,Punctuation
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
return,Keyword
 ,Whitespace
"""Dumps an Avro data file as JSON, record per line or pretty.""",String
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
@,Punctuation
Override,Identifier
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
int,Keyword
 ,Whitespace
run,Identifier
(,Punctuation
InputStream,Identifier
 ,Whitespace
stdin,Identifier
",",Punctuation
 ,Whitespace
PrintStream,Identifier
 ,Whitespace
out,Identifier
",",Punctuation
 ,Whitespace
PrintStream,Identifier
 ,Whitespace
err,Identifier
",",Punctuation
"
",Newline
      ,Whitespace
List,Identifier
<,Operator
String,Identifier
>,Operator
 ,Whitespace
args,Identifier
),Punctuation
 ,Whitespace
throws,Keyword
 ,Whitespace
Exception,Identifier
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
OptionParser,Identifier
 ,Whitespace
optionParser,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
new,Keyword
 ,Whitespace
OptionParser,Identifier
(,Punctuation
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
OptionSpec,Identifier
<,Operator
Void,Identifier
>,Operator
 ,Whitespace
prettyOption,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
optionParser,Identifier
"
",Newline
        ,Whitespace
.,Punctuation
accepts,Identifier
(,Punctuation
"""pretty""",String
",",Punctuation
 ,Whitespace
"""Turns on pretty printing.""",String
),Punctuation
;,Punctuation
"
",Newline
"
",Newline
    ,Whitespace
OptionSet,Identifier
 ,Whitespace
optionSet,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
optionParser,Identifier
.,Punctuation
parse,Identifier
(,Punctuation
args,Identifier
.,Punctuation
toArray,Identifier
(,Punctuation
new,Keyword
 ,Whitespace
String,Identifier
[,Punctuation
0,Literal
],Punctuation
),Punctuation
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
Boolean,Identifier
 ,Whitespace
pretty,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
optionSet,Identifier
.,Punctuation
has,Identifier
(,Punctuation
prettyOption,Identifier
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
List,Identifier
<,Operator
String,Identifier
>,Operator
 ,Whitespace
nargs,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
optionSet,Identifier
.,Punctuation
nonOptionArguments,Identifier
(,Punctuation
),Punctuation
;,Punctuation
"
",Newline
"
",Newline
    ,Whitespace
if,Keyword
 ,Whitespace
(,Punctuation
nargs,Identifier
.,Punctuation
size,Identifier
(,Punctuation
),Punctuation
 ,Whitespace
!=,Operator
 ,Whitespace
1,Literal
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
      ,Whitespace
"// Unlike other commands, ""-"" can't be used for stdin, because",Comment
"
",Newline
      ,Whitespace
// we can only use seekable files.,Comment
"
",Newline
      ,Whitespace
err,Identifier
.,Punctuation
println,Identifier
(,Punctuation
"""tojson --pretty input-file""",String
),Punctuation
;,Punctuation
"
",Newline
      ,Whitespace
err,Identifier
.,Punctuation
println,Identifier
(,Punctuation
"""   converts Avro data file to JSON.""",String
),Punctuation
;,Punctuation
"
",Newline
      ,Whitespace
optionParser,Identifier
.,Punctuation
printHelpOn,Identifier
(,Punctuation
err,Identifier
),Punctuation
;,Punctuation
"
",Newline
      ,Whitespace
return,Keyword
 ,Whitespace
1,Literal
;,Punctuation
"
",Newline
    ,Whitespace
},Punctuation
"
",Newline
"
",Newline
    ,Whitespace
GenericDatumReader,Identifier
<,Operator
Object,Identifier
>,Operator
 ,Whitespace
reader,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
new,Keyword
 ,Whitespace
GenericDatumReader,Identifier
<,Operator
Object,Identifier
>,Operator
(,Punctuation
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
FileReader,Identifier
<,Operator
Object,Identifier
>,Operator
 ,Whitespace
fileReader,Identifier
 ,Whitespace
=,Operator
"
",Newline
      ,Whitespace
DataFileReader,Identifier
.,Punctuation
openReader,Identifier
(,Punctuation
Util,Identifier
.,Punctuation
openSeekableFromFS,Identifier
(,Punctuation
nargs,Identifier
.,Punctuation
get,Identifier
(,Punctuation
0,Literal
),Punctuation
),Punctuation
",",Punctuation
 ,Whitespace
reader,Identifier
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
try,Keyword
 ,Whitespace
{,Punctuation
"
",Newline
      ,Whitespace
Schema,Identifier
 ,Whitespace
schema,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
fileReader,Identifier
.,Punctuation
getSchema,Identifier
(,Punctuation
),Punctuation
;,Punctuation
"
",Newline
      ,Whitespace
DatumWriter,Identifier
<,Operator
Object,Identifier
>,Operator
 ,Whitespace
writer,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
new,Keyword
 ,Whitespace
GenericDatumWriter,Identifier
<,Operator
Object,Identifier
>,Operator
(,Punctuation
schema,Identifier
),Punctuation
;,Punctuation
"
",Newline
      ,Whitespace
JsonEncoder,Identifier
 ,Whitespace
encoder,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
EncoderFactory,Identifier
.,Punctuation
get,Identifier
(,Punctuation
),Punctuation
.,Punctuation
jsonEncoder,Identifier
(,Punctuation
schema,Identifier
",",Punctuation
 ,Whitespace
out,Identifier
",",Punctuation
 ,Whitespace
pretty,Identifier
),Punctuation
;,Punctuation
"
",Newline
      ,Whitespace
for,Keyword
 ,Whitespace
(,Punctuation
Object,Identifier
 ,Whitespace
datum,Identifier
 ,Whitespace
:,Operator
 ,Whitespace
fileReader,Identifier
),Punctuation
"
",Newline
        ,Whitespace
writer,Identifier
.,Punctuation
write,Identifier
(,Punctuation
datum,Identifier
",",Punctuation
 ,Whitespace
encoder,Identifier
),Punctuation
;,Punctuation
"
",Newline
      ,Whitespace
encoder,Identifier
.,Punctuation
flush,Identifier
(,Punctuation
),Punctuation
;,Punctuation
"
",Newline
      ,Whitespace
out,Identifier
.,Punctuation
println,Identifier
(,Punctuation
),Punctuation
;,Punctuation
"
",Newline
      ,Whitespace
out,Identifier
.,Punctuation
flush,Identifier
(,Punctuation
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
},Punctuation
 ,Whitespace
finally,Keyword
 ,Whitespace
{,Punctuation
"
",Newline
      ,Whitespace
fileReader,Identifier
.,Punctuation
close,Identifier
(,Punctuation
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
},Punctuation
"
",Newline
    ,Whitespace
return,Keyword
 ,Whitespace
0,Literal
;,Punctuation
