Text,Token
"/**
 * Licensed to the Apache Software Foundation (ASF) under one
 * or more contributor license agreements.  See the NOTICE file
 * distributed with this work for additional information
 * regarding copyright ownership.  The ASF licenses this file
 * to you under the Apache License, Version 2.0 (the
 * ""License""); you may not use this file except in compliance
 * with the License.  You may obtain a copy of the License at
 *
 *     http://www.apache.org/licenses/LICENSE-2.0
 *
 * Unless required by applicable law or agreed to in writing, software
 * distributed under the License is distributed on an ""AS IS"" BASIS,
 * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or
 * implied.  See the License for the specific language governing
 * permissions and limitations under the License.
 */",Comment
"
",Newline
"
",Newline
package,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
mapreduce,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
io,Identifier
.,Punctuation
IOException,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
io,Identifier
.,Punctuation
OutputStream,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
Schema,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
file,Identifier
.,Punctuation
CodecFactory,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
generic,Identifier
.,Punctuation
GenericData,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
hadoop,Identifier
.,Punctuation
io,Identifier
.,Punctuation
AvroSerialization,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
mapred,Identifier
.,Punctuation
AvroKey,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
hadoop,Identifier
.,Punctuation
conf,Identifier
.,Punctuation
Configuration,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
hadoop,Identifier
.,Punctuation
io,Identifier
.,Punctuation
NullWritable,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
hadoop,Identifier
.,Punctuation
mapreduce,Identifier
.,Punctuation
RecordWriter,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
hadoop,Identifier
.,Punctuation
mapreduce,Identifier
.,Punctuation
TaskAttemptContext,Identifier
;,Punctuation
"
",Newline
"
",Newline
"/**
 * FileOutputFormat for writing Avro container files.
 *
 * <p>Since Avro container files only contain records (not key/value pairs), this output
 * format ignores the value.</p>
 *
 * @param <T> The (java) type of the Avro data to write.
 */",Comment
"
",Newline
public,Keyword
 ,Whitespace
class,Keyword
 ,Whitespace
AvroKeyOutputFormat,Identifier
<,Operator
T,Identifier
>,Operator
 ,Whitespace
extends,Keyword
 ,Whitespace
AvroOutputFormatBase,Identifier
<,Operator
AvroKey,Identifier
<,Operator
T,Identifier
>,Operator
",",Punctuation
 ,Whitespace
NullWritable,Identifier
>,Operator
 ,Whitespace
{,Punctuation
"
",Newline
  ,Whitespace
/** A factory for creating record writers. */,Comment
"
",Newline
  ,Whitespace
private,Keyword
 ,Whitespace
final,Keyword
 ,Whitespace
RecordWriterFactory,Identifier
 ,Whitespace
mRecordWriterFactory,Identifier
;,Punctuation
"
",Newline
"
",Newline
  ,Whitespace
"/**
   * Constructor.
   */",Comment
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
AvroKeyOutputFormat,Identifier
(,Punctuation
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
this,Keyword
(,Punctuation
new,Keyword
 ,Whitespace
RecordWriterFactory,Identifier
(,Punctuation
),Punctuation
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
"/**
   * Constructor.
   *
   * @param recordWriterFactory A factory for creating record writers.
   */",Comment
"
",Newline
  ,Whitespace
protected,Keyword
 ,Whitespace
AvroKeyOutputFormat,Identifier
(,Punctuation
RecordWriterFactory,Identifier
 ,Whitespace
recordWriterFactory,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
mRecordWriterFactory,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
recordWriterFactory,Identifier
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
"/**
   * A factory for creating record writers.
   *
   * @param <T> The java type of the avro record to write.
   */",Comment
"
",Newline
  ,Whitespace
protected,Keyword
 ,Whitespace
static,Keyword
 ,Whitespace
class,Keyword
 ,Whitespace
RecordWriterFactory,Identifier
<,Operator
T,Identifier
>,Operator
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
"/**
     * Creates a new record writer instance.
     *
     * @param writerSchema The writer schema for the records to write.
     * @param compressionCodec The compression type for the writer file.
     * @param outputStream The target output stream for the records.
     * @param syncInterval The sync interval for the writer file.
     */",Comment
"
",Newline
    ,Whitespace
protected,Keyword
 ,Whitespace
RecordWriter,Identifier
<,Operator
AvroKey,Identifier
<,Operator
T,Identifier
>,Operator
",",Punctuation
 ,Whitespace
NullWritable,Identifier
>,Operator
 ,Whitespace
create,Identifier
(,Punctuation
"
",Newline
        ,Whitespace
Schema,Identifier
 ,Whitespace
writerSchema,Identifier
",",Punctuation
 ,Whitespace
GenericData,Identifier
 ,Whitespace
dataModel,Identifier
",",Punctuation
 ,Whitespace
CodecFactory,Identifier
 ,Whitespace
compressionCodec,Identifier
",",Punctuation
"
",Newline
        ,Whitespace
OutputStream,Identifier
 ,Whitespace
outputStream,Identifier
",",Punctuation
 ,Whitespace
int,Keyword
 ,Whitespace
syncInterval,Identifier
),Punctuation
 ,Whitespace
throws,Keyword
 ,Whitespace
IOException,Identifier
 ,Whitespace
{,Punctuation
"
",Newline
      ,Whitespace
return,Keyword
 ,Whitespace
new,Keyword
 ,Whitespace
AvroKeyRecordWriter,Identifier
<,Operator
T,Identifier
>,Operator
(,Punctuation
writerSchema,Identifier
",",Punctuation
 ,Whitespace
dataModel,Identifier
",",Punctuation
 ,Whitespace
compressionCodec,Identifier
",",Punctuation
 ,Whitespace
outputStream,Identifier
",",Punctuation
 ,Whitespace
syncInterval,Identifier
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
},Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
/** {@inheritDoc} */,Comment
"
",Newline
  ,Whitespace
@,Punctuation
Override,Identifier
"
",Newline
  ,Whitespace
@,Punctuation
SuppressWarnings,Identifier
(,Punctuation
"""unchecked""",String
),Punctuation
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
RecordWriter,Identifier
<,Operator
AvroKey,Identifier
<,Operator
T,Identifier
>,Operator
",",Punctuation
 ,Whitespace
NullWritable,Identifier
>,Operator
 ,Whitespace
getRecordWriter,Identifier
(,Punctuation
TaskAttemptContext,Identifier
 ,Whitespace
context,Identifier
),Punctuation
"
",Newline
      ,Whitespace
throws,Keyword
 ,Whitespace
IOException,Identifier
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
Configuration,Identifier
 ,Whitespace
conf,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
context,Identifier
.,Punctuation
getConfiguration,Identifier
(,Punctuation
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
// Get the writer schema.,Comment
"
",Newline
    ,Whitespace
Schema,Identifier
 ,Whitespace
writerSchema,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
AvroJob,Identifier
.,Punctuation
getOutputKeySchema,Identifier
(,Punctuation
conf,Identifier
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
boolean,Keyword
 ,Whitespace
isMapOnly,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
context,Identifier
.,Punctuation
getNumReduceTasks,Identifier
(,Punctuation
),Punctuation
 ,Whitespace
==,Operator
 ,Whitespace
0,Literal
;,Punctuation
"
",Newline
    ,Whitespace
if,Keyword
 ,Whitespace
(,Punctuation
isMapOnly,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
      ,Whitespace
Schema,Identifier
 ,Whitespace
mapOutputSchema,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
AvroJob,Identifier
.,Punctuation
getMapOutputKeySchema,Identifier
(,Punctuation
conf,Identifier
),Punctuation
;,Punctuation
"
",Newline
      ,Whitespace
if,Keyword
 ,Whitespace
(,Punctuation
mapOutputSchema,Identifier
 ,Whitespace
!=,Operator
 ,Whitespace
null,Keyword
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
        ,Whitespace
writerSchema,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
mapOutputSchema,Identifier
;,Punctuation
"
",Newline
      ,Whitespace
},Punctuation
"
",Newline
    ,Whitespace
},Punctuation
"
",Newline
    ,Whitespace
if,Keyword
 ,Whitespace
(,Punctuation
null,Keyword
 ,Whitespace
==,Operator
 ,Whitespace
writerSchema,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
      ,Whitespace
throw,Keyword
 ,Whitespace
new,Keyword
 ,Whitespace
IOException,Identifier
(,Punctuation
"
",Newline
          ,Whitespace
"""AvroKeyOutputFormat requires an output schema. Use AvroJob.setOutputKeySchema().""",String
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
},Punctuation
"
",Newline
"
",Newline
    ,Whitespace
GenericData,Identifier
 ,Whitespace
dataModel,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
AvroSerialization,Identifier
.,Punctuation
createDataModel,Identifier
(,Punctuation
conf,Identifier
),Punctuation
;,Punctuation
"
",Newline
"
",Newline
    ,Whitespace
return,Keyword
 ,Whitespace
mRecordWriterFactory,Identifier
.,Punctuation
create,Identifier
"
",Newline
      ,Whitespace
(,Punctuation
writerSchema,Identifier
",",Punctuation
 ,Whitespace
dataModel,Identifier
",",Punctuation
 ,Whitespace
getCompressionCodec,Identifier
(,Punctuation
context,Identifier
),Punctuation
",",Punctuation
"
",Newline
       ,Whitespace
getAvroFileOutputStream,Identifier
