Text,Token
"/**
 * Licensed to the Apache Software Foundation (ASF) under one
 * or more contributor license agreements.  See the NOTICE file
 * distributed with this work for additional information
 * regarding copyright ownership.  The ASF licenses this file
 * to you under the Apache License, Version 2.0 (the
 * ""License""); you may not use this file except in compliance
 * with the License.  You may obtain a copy of the License at
 *
 *     http://www.apache.org/licenses/LICENSE-2.0
 *
 * Unless required by applicable law or agreed to in writing, software
 * distributed under the License is distributed on an ""AS IS"" BASIS,
 * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
 * See the License for the specific language governing permissions and
 * limitations under the License.
 */",Comment
"
",Newline
"
",Newline
package,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
mapred,Identifier
.,Punctuation
tether,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
nio,Identifier
.,Punctuation
ByteBuffer,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
hadoop,Identifier
.,Punctuation
io,Identifier
.,Punctuation
RawComparator,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
hadoop,Identifier
.,Punctuation
conf,Identifier
.,Punctuation
Configured,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
hadoop,Identifier
.,Punctuation
conf,Identifier
.,Punctuation
Configuration,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
Schema,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
io,Identifier
.,Punctuation
BinaryData,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
mapred,Identifier
.,Punctuation
AvroJob,Identifier
;,Punctuation
"
",Newline
"
",Newline
/** The {@link RawComparator} used by jobs configured with {@link TetherJob}. */,Comment
"
",Newline
class,Keyword
 ,Whitespace
TetherKeyComparator,Identifier
"
",Newline
  ,Whitespace
extends,Keyword
 ,Whitespace
Configured,Identifier
 ,Whitespace
implements,Keyword
 ,Whitespace
RawComparator,Identifier
<,Operator
TetherData,Identifier
>,Operator
 ,Whitespace
{,Punctuation
"
",Newline
"
",Newline
  ,Whitespace
private,Keyword
 ,Whitespace
Schema,Identifier
 ,Whitespace
schema,Identifier
;,Punctuation
"
",Newline
"
",Newline
  ,Whitespace
@,Punctuation
Override,Identifier
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
void,Keyword
 ,Whitespace
setConf,Identifier
(,Punctuation
Configuration,Identifier
 ,Whitespace
conf,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
super,Keyword
.,Punctuation
setConf,Identifier
(,Punctuation
conf,Identifier
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
if,Keyword
 ,Whitespace
(,Punctuation
conf,Identifier
 ,Whitespace
!=,Operator
 ,Whitespace
null,Keyword
),Punctuation
"
",Newline
      ,Whitespace
schema,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
AvroJob,Identifier
.,Punctuation
getMapOutputSchema,Identifier
(,Punctuation
conf,Identifier
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
@,Punctuation
Override,Identifier
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
int,Keyword
 ,Whitespace
compare,Identifier
(,Punctuation
byte,Keyword
[,Punctuation
],Punctuation
 ,Whitespace
b1,Identifier
",",Punctuation
 ,Whitespace
int,Keyword
 ,Whitespace
s1,Identifier
",",Punctuation
 ,Whitespace
int,Keyword
 ,Whitespace
l1,Identifier
",",Punctuation
 ,Whitespace
byte,Keyword
[,Punctuation
],Punctuation
 ,Whitespace
b2,Identifier
",",Punctuation
 ,Whitespace
int,Keyword
 ,Whitespace
s2,Identifier
",",Punctuation
 ,Whitespace
int,Keyword
 ,Whitespace
l2,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
int,Keyword
 ,Whitespace
diff,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
BinaryData,Identifier
.,Punctuation
compare,Identifier
(,Punctuation
b1,Identifier
",",Punctuation
 ,Whitespace
BinaryData,Identifier
.,Punctuation
skipLong,Identifier
(,Punctuation
b1,Identifier
",",Punctuation
 ,Whitespace
s1,Identifier
),Punctuation
",",Punctuation
 ,Whitespace
l1,Identifier
",",Punctuation
"
",Newline
                                  ,Whitespace
b2,Identifier
",",Punctuation
 ,Whitespace
BinaryData,Identifier
.,Punctuation
skipLong,Identifier
(,Punctuation
b2,Identifier
",",Punctuation
 ,Whitespace
s2,Identifier
),Punctuation
",",Punctuation
 ,Whitespace
l2,Identifier
",",Punctuation
"
",Newline
                                  ,Whitespace
schema,Identifier
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
return,Keyword
 ,Whitespace
diff,Identifier
 ,Whitespace
==,Operator
 ,Whitespace
0,Literal
 ,Whitespace
?,Operator
 ,Whitespace
-,Operator
1,Literal
 ,Whitespace
:,Operator
 ,Whitespace
diff,Identifier
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
@,Punctuation
Override,Identifier
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
int,Keyword
 ,Whitespace
compare,Identifier
(,Punctuation
TetherData,Identifier
 ,Whitespace
x,Identifier
",",Punctuation
 ,Whitespace
TetherData,Identifier
 ,Whitespace
y,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
ByteBuffer,Identifier
 ,Whitespace
b1,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
x,Identifier
.,Punctuation
buffer,Identifier
(,Punctuation
),Punctuation
",",Punctuation
 ,Whitespace
b2,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
y,Identifier
.,Punctuation
buffer,Identifier
(,Punctuation
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
int,Keyword
 ,Whitespace
diff,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
BinaryData,Identifier
.,Punctuation
compare,Identifier
(,Punctuation
b1,Identifier
.,Punctuation
array,Identifier
(,Punctuation
),Punctuation
",",Punctuation
 ,Whitespace
b1,Identifier
.,Punctuation
position,Identifier
(,Punctuation
),Punctuation
",",Punctuation
 ,Whitespace
"
",Newline
                                  ,Whitespace
b2,Identifier
.,Punctuation
array,Identifier
(,Punctuation
),Punctuation
",",Punctuation
 ,Whitespace
b2,Identifier
.,Punctuation
position,Identifier
(,Punctuation
),Punctuation
",",Punctuation
"
",Newline
                                  ,Whitespace
schema,Identifier
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
return,Keyword
 ,Whitespace
diff,Identifier
 ,Whitespace
==,Operator
 ,Whitespace
0,Literal
 ,Whitespace
?,Operator
 ,Whitespace
-,Operator
1,Literal
 ,Whitespace
:,Operator
 ,Whitespace
diff,Identifier
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
"
",Newline
},Punctuation
"
",Newline
