Text,Token
"/**
 * Licensed to the Apache Software Foundation (ASF) under one
 * or more contributor license agreements.  See the NOTICE file
 * distributed with this work for additional information
 * regarding copyright ownership.  The ASF licenses this file
 * to you under the Apache License, Version 2.0 (the
 * ""License""); you may not use this file except in compliance
 * with the License.  You may obtain a copy of the License at
 *
 *     http://www.apache.org/licenses/LICENSE-2.0
 *
 * Unless required by applicable law or agreed to in writing, software
 * distributed under the License is distributed on an ""AS IS"" BASIS,
 * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
 * See the License for the specific language governing permissions and
 * limitations under the License.
 */",Comment
"
",Newline
package,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
io,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
io,Identifier
.,Punctuation
IOException,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
io,Identifier
.,Punctuation
OutputStream,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
util,Identifier
.,Punctuation
Arrays,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
AvroTypeException,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
Schema,Identifier
;,Punctuation
"
",Newline
"
",Newline
"/** A {@link BinaryEncoder} implementation that writes large arrays and maps as a
 * sequence of blocks. So long as individual primitive values fit in memory,
 * arbitrarily long arrays and maps may be written and subsequently read without
 * exhausting memory. Values are buffered until the specified block size would
 * be exceeded, minimizing block overhead.
 * <p/>
 * Use {@link EncoderFactory#blockingBinaryEncoder(OutputStream, BinaryEncoder)}
 * to construct and configure.
 * <p/>
 * BlockingBinaryEncoder buffers writes, data may not appear on the output until
 * {@link #flush()} is called.
 * <p/>
 * BlockingBinaryEncoder is not thread-safe
 * 
 * @see BinaryEncoder
 * @see EncoderFactory
 * @see Encoder
 */",Comment
"
",Newline
public,Keyword
 ,Whitespace
class,Keyword
 ,Whitespace
BlockingBinaryEncoder,Identifier
 ,Whitespace
extends,Keyword
 ,Whitespace
BufferedBinaryEncoder,Identifier
 ,Whitespace
{,Punctuation
"
",Newline
"
",Newline
 ,Whitespace
"/* Implementation note:
  *
  * Blocking is complicated because of nesting.  If a large, nested
  * value overflows your buffer, you've got to do a lot of dancing
  * around to output the blocks correctly.
  *
  * To handle this complexity, this class keeps a stack of blocked
  * values: each time a new block is started (e.g., by a call to
  * {@link #writeArrayStart}), an entry is pushed onto this stack.
  *
  * In this stack, we keep track of the state of a block.  Blocks can
  * be in two states.  ""Regular"" blocks have a non-zero byte count.
  * ""Overflow"" blocks help us deal with the case where a block
  * contains a value that's too big to buffer.  In this case, the
  * block contains only one item, and we give it an unknown
  * byte-count.  Because these values (1,unknown) are fixed, we're
  * able to write the header for these overflow blocks to the
  * underlying stream without seeing the entire block.  After writing
  * this header, we've freed our buffer space to be fully devoted to
  * blocking the large, inner value.
  */",Comment
"
",Newline
"
",Newline
  ,Whitespace
private,Keyword
 ,Whitespace
static,Keyword
 ,Whitespace
class,Keyword
 ,Whitespace
BlockedValue,Identifier
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
public,Keyword
 ,Whitespace
enum,Identifier
 ,Whitespace
State,Identifier
 ,Whitespace
{,Punctuation
"
",Newline
      ,Whitespace
"/**
       * The bottom element of our stack represents being _outside_
       * of a blocked value.
       */",Comment
"
",Newline
      ,Whitespace
ROOT,Identifier
",",Punctuation
"
",Newline
"
",Newline
      ,Whitespace
"/**
       * Represents the ""regular"" case, i.e., a blocked-value whose
       * current block is fully contained in the buffer.  In this
       * case, {@link BlockedValue#start} points to the start of the
       * blocks _data_ -- but no room has been left for a header!
       * When this block is terminated, it's data will have to be
       * moved over a bit to make room for the header. */",Comment
"
",Newline
      ,Whitespace
REGULAR,Identifier
",",Punctuation
"
",Newline
"
",Newline
      ,Whitespace
"/**
       * Represents a blocked-value whose current block is in the
       * overflow state.  In this case, {@link BlockedValue#start} is zero. The
       * header for such a block has _already been written_ (we've
       * written out a header indicating that the block has a single
       * item, and we put a ""zero"" down for the byte-count to indicate
       * that we don't know the physical length of the buffer.  Any blocks
       *  _containing_ this block must be in the {@link #OVERFLOW}
       *  state. */",Comment
"
",Newline
     ,Whitespace
OVERFLOW,Identifier
"
",Newline
    ,Whitespace
},Punctuation
"
",Newline
"
",Newline
    ,Whitespace
/** The type of this blocked value (ARRAY or MAP). */,Comment
"
",Newline
    ,Whitespace
public,Keyword
 ,Whitespace
Schema,Identifier
.,Punctuation
Type,Identifier
 ,Whitespace
type,Identifier
;,Punctuation
"
",Newline
"
",Newline
    ,Whitespace
/** The state of this BlockedValue */,Comment
"
",Newline
    ,Whitespace
public,Keyword
 ,Whitespace
State,Identifier
 ,Whitespace
state,Identifier
;,Punctuation
"
",Newline
    ,Whitespace
"
",Newline
    ,Whitespace
/** The location in the buffer where this blocked value starts */,Comment
"
",Newline
    ,Whitespace
public,Keyword
 ,Whitespace
int,Keyword
 ,Whitespace
start,Identifier
;,Punctuation
"
",Newline
"
",Newline
    ,Whitespace
"/**
     * The index one past the last byte for the previous item. If this
     * is the first item, this is same as {@link #start}.
     */",Comment
"
",Newline
    ,Whitespace
public,Keyword
 ,Whitespace
int,Keyword
 ,Whitespace
lastFullItem,Identifier
;,Punctuation
"
",Newline
    ,Whitespace
"
",Newline
    ,Whitespace
"/**
     * Number of items in this blocked value that are stored
     * in the buffer.
     */",Comment
"
",Newline
    ,Whitespace
public,Keyword
 ,Whitespace
int,Keyword
 ,Whitespace
items,Identifier
;,Punctuation
"
",Newline
"
",Newline
    ,Whitespace
/** Number of items left to write*/,Comment
"
",Newline
    ,Whitespace
public,Keyword
 ,Whitespace
long,Keyword
 ,Whitespace
itemsLeftToWrite,Identifier
;,Punctuation
"
",Newline
"
",Newline
    ,Whitespace
/** Create a ROOT instance. */,Comment
"
",Newline
    ,Whitespace
public,Keyword
 ,Whitespace
BlockedValue,Identifier
(,Punctuation
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
      ,Whitespace
this,Keyword
.,Punctuation
type,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
null,Keyword
;,Punctuation
"
",Newline
      ,Whitespace
this,Keyword
.,Punctuation
state,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
BlockedValue,Identifier
.,Punctuation
State,Identifier
.,Punctuation
ROOT,Identifier
;,Punctuation
"
",Newline
      ,Whitespace
this,Keyword
.,Punctuation
start,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
this,Keyword
.,Punctuation
lastFullItem,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
0,Literal
;,Punctuation
"
",Newline
      ,Whitespace
this,Keyword
.,Punctuation
items,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
1,Literal
;,Punctuation
 ,Whitespace
// Makes various assertions work out,Comment
"
",Newline
    ,Whitespace
},Punctuation
"
",Newline
    ,Whitespace
"
",Newline
    ,Whitespace
"/**
     * Check invariants of <code>this</code> and also the
     * <code>BlockedValue</code> containing <code>this</code>.
     */",Comment
"
",Newline
    ,Whitespace
public,Keyword
 ,Whitespace
boolean,Keyword
 ,Whitespace
check,Identifier
(,Punctuation
BlockedValue,Identifier
 ,Whitespace
prev,Identifier
",",Punctuation
 ,Whitespace
int,Keyword
 ,Whitespace
pos,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
      ,Whitespace
assert,Identifier
 ,Whitespace
state,Identifier
 ,Whitespace
!=,Operator
 ,Whitespace
State,Identifier
.,Punctuation
ROOT,Identifier
 ,Whitespace
||,Operator
 ,Whitespace
type,Identifier
 ,Whitespace
==,Operator
 ,Whitespace
null,Keyword
;,Punctuation
"
",Newline
      ,Whitespace
assert,Identifier
 ,Whitespace
(,Punctuation
state,Identifier
 ,Whitespace
==,Operator
 ,Whitespace
State,Identifier
.,Punctuation
ROOT,Identifier
 ,Whitespace
||,Operator
"
",Newline
              ,Whitespace
type,Identifier
 ,Whitespace
==,Operator
 ,Whitespace
Schema,Identifier
.,Punctuation
Type,Identifier
.,Punctuation
ARRAY,Identifier
 ,Whitespace
||,Operator
 ,Whitespace
type,Identifier
 ,Whitespace
==,Operator
 ,Whitespace
Schema,Identifier
.,Punctuation
Type,Identifier
.,Punctuation
MAP,Identifier
),Punctuation
;,Punctuation
"
",Newline
"
",Newline
      ,Whitespace
assert,Identifier
 ,Whitespace
0,Literal
 ,Whitespace
<=,Operator
 ,Whitespace
items,Identifier
;,Punctuation
"
",Newline
      ,Whitespace
assert,Identifier
 ,Whitespace
0,Literal
 ,Whitespace
!=,Operator
 ,Whitespace
items,Identifier
 ,Whitespace
||,Operator
 ,Whitespace
start,Identifier
 ,Whitespace
==,Operator
 ,Whitespace
pos,Identifier
;,Punctuation
         ,Whitespace
// 0==itms ==> start==pos,Comment
"
",Newline
      ,Whitespace
assert,Identifier
 ,Whitespace
1,Literal
 ,Whitespace
<,Operator
 ,Whitespace
items,Identifier
 ,Whitespace
||,Operator
 ,Whitespace
start,Identifier
 ,Whitespace
==,Operator
 ,Whitespace
lastFullItem,Identifier
;,Punctuation
 ,Whitespace
// 1<=itms ==> start==lFI,Comment
"
",Newline
      ,Whitespace
assert,Identifier
 ,Whitespace
items,Identifier
 ,Whitespace
<=,Operator
 ,Whitespace
1,Literal
 ,Whitespace
||,Operator
 ,Whitespace
start,Identifier
 ,Whitespace
<=,Operator
 ,Whitespace
lastFullItem,Identifier
;,Punctuation
 ,Whitespace
// 1<itms ==> start<=lFI,Comment
"
",Newline
      ,Whitespace
assert,Identifier
 ,Whitespace
lastFullItem,Identifier
 ,Whitespace
<=,Operator
 ,Whitespace
pos,Identifier
;,Punctuation
"
",Newline
"
",Newline
      ,Whitespace
switch,Keyword
 ,Whitespace
(,Punctuation
state,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
      ,Whitespace
case,Keyword
 ,Whitespace
ROOT,Identifier
:,Operator
"
",Newline
          ,Whitespace
assert,Identifier
 ,Whitespace
start,Identifier
 ,Whitespace
==,Operator
 ,Whitespace
0,Literal
;,Punctuation
"
",Newline
          ,Whitespace
assert,Identifier
 ,Whitespace
prev,Identifier
 ,Whitespace
==,Operator
 ,Whitespace
null,Keyword
;,Punctuation
"
",Newline
          ,Whitespace
break,Keyword
;,Punctuation
"
",Newline
      ,Whitespace
case,Keyword
 ,Whitespace
REGULAR,Identifier
