Text,Token
"/**
 * Licensed to the Apache Software Foundation (ASF) under one
 * or more contributor license agreements.  See the NOTICE file
 * distributed with this work for additional information
 * regarding copyright ownership.  The ASF licenses this file
 * to you under the Apache License, Version 2.0 (the
 * ""License""); you may not use this file except in compliance
 * with the License.  You may obtain a copy of the License at
 *
 *     http://www.apache.org/licenses/LICENSE-2.0
 *
 * Unless required by applicable law or agreed to in writing, software
 * distributed under the License is distributed on an ""AS IS"" BASIS,
 * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
 * See the License for the specific language governing permissions and
 * limitations under the License.
 */",Comment
"
",Newline
"
",Newline
package,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
mapred,Identifier
.,Punctuation
tether,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
nio,Identifier
.,Punctuation
ByteBuffer,Identifier
;,Punctuation
"
",Newline
"
",Newline
/** A wrapper for a ByteBuffer containing binary-encoded data. */,Comment
"
",Newline
class,Keyword
 ,Whitespace
TetherData,Identifier
 ,Whitespace
{,Punctuation
"
",Newline
  ,Whitespace
private,Keyword
 ,Whitespace
int,Keyword
 ,Whitespace
count,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
1,Literal
;,Punctuation
                          ,Whitespace
// only used for task input,Comment
"
",Newline
  ,Whitespace
private,Keyword
 ,Whitespace
ByteBuffer,Identifier
 ,Whitespace
buffer,Identifier
;,Punctuation
"
",Newline
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
TetherData,Identifier
(,Punctuation
),Punctuation
 ,Whitespace
{,Punctuation
},Punctuation
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
TetherData,Identifier
(,Punctuation
ByteBuffer,Identifier
 ,Whitespace
buffer,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
 ,Whitespace
this,Keyword
.,Punctuation
buffer,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
buffer,Identifier
;,Punctuation
 ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
/** Return the count of records in the buffer.  Used for task input only.*/,Comment
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
int,Keyword
 ,Whitespace
count,Identifier
(,Punctuation
),Punctuation
 ,Whitespace
{,Punctuation
 ,Whitespace
return,Keyword
 ,Whitespace
count,Identifier
;,Punctuation
 ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
/** Set the count of records in the buffer.  Used for task input only. */,Comment
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
void,Keyword
 ,Whitespace
count,Identifier
(,Punctuation
int,Keyword
 ,Whitespace
count,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
 ,Whitespace
this,Keyword
.,Punctuation
count,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
count,Identifier
;,Punctuation
 ,Whitespace
},Punctuation
"
",Newline
    ,Whitespace
"
",Newline
  ,Whitespace
/** Return the buffer. */,Comment
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
ByteBuffer,Identifier
 ,Whitespace
buffer,Identifier
(,Punctuation
),Punctuation
 ,Whitespace
{,Punctuation
 ,Whitespace
return,Keyword
 ,Whitespace
buffer,Identifier
;,Punctuation
 ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
/** Set the buffer. */,Comment
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
void,Keyword
 ,Whitespace
buffer,Identifier
(,Punctuation
ByteBuffer,Identifier
 ,Whitespace
buffer,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
 ,Whitespace
this,Keyword
.,Punctuation
buffer,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
buffer,Identifier
;,Punctuation
 ,Whitespace
},Punctuation
"
",Newline
},Punctuation
"
",Newline
