Text,Token
"/**
 * Licensed to the Apache Software Foundation (ASF) under one
 * or more contributor license agreements.  See the NOTICE file
 * distributed with this work for additional information
 * regarding copyright ownership.  The ASF licenses this file
 * to you under the Apache License, Version 2.0 (the
 * ""License""); you may not use this file except in compliance
 * with the License.  You may obtain a copy of the License at
 *
 *     http://www.apache.org/licenses/LICENSE-2.0
 *
 * Unless required by applicable law or agreed to in writing, software
 * distributed under the License is distributed on an ""AS IS"" BASIS,
 * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
 * See the License for the specific language governing permissions and
 * limitations under the License.
 */",Comment
"
",Newline
"
",Newline
package,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
ipc,Identifier
.,Punctuation
reflect,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
io,Identifier
.,Punctuation
IOException,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
lang,Identifier
.,Punctuation
reflect,Identifier
.,Punctuation
Proxy,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
Protocol,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
Schema,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
io,Identifier
.,Punctuation
DatumReader,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
io,Identifier
.,Punctuation
DatumWriter,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
reflect,Identifier
.,Punctuation
ReflectData,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
reflect,Identifier
.,Punctuation
ReflectDatumReader,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
reflect,Identifier
.,Punctuation
ReflectDatumWriter,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
ipc,Identifier
.,Punctuation
Transceiver,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
ipc,Identifier
.,Punctuation
specific,Identifier
.,Punctuation
SpecificRequestor,Identifier
;,Punctuation
"
",Newline
"
",Newline
/** A {@link org.apache.avro.ipc.Requestor} for existing interfaces. */,Comment
"
",Newline
public,Keyword
 ,Whitespace
class,Keyword
 ,Whitespace
ReflectRequestor,Identifier
 ,Whitespace
extends,Keyword
 ,Whitespace
SpecificRequestor,Identifier
 ,Whitespace
{,Punctuation
"
",Newline
  ,Whitespace
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
ReflectRequestor,Identifier
(,Punctuation
Class,Identifier
<,Operator
?,Operator
>,Operator
 ,Whitespace
iface,Identifier
",",Punctuation
 ,Whitespace
Transceiver,Identifier
 ,Whitespace
transceiver,Identifier
),Punctuation
"
",Newline
    ,Whitespace
throws,Keyword
 ,Whitespace
IOException,Identifier
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
this,Keyword
(,Punctuation
iface,Identifier
",",Punctuation
 ,Whitespace
transceiver,Identifier
",",Punctuation
 ,Whitespace
new,Keyword
 ,Whitespace
ReflectData,Identifier
(,Punctuation
iface,Identifier
.,Punctuation
getClassLoader,Identifier
(,Punctuation
),Punctuation
),Punctuation
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
protected,Keyword
 ,Whitespace
ReflectRequestor,Identifier
(,Punctuation
Protocol,Identifier
 ,Whitespace
protocol,Identifier
",",Punctuation
 ,Whitespace
Transceiver,Identifier
 ,Whitespace
transceiver,Identifier
),Punctuation
"
",Newline
    ,Whitespace
throws,Keyword
 ,Whitespace
IOException,Identifier
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
this,Keyword
(,Punctuation
protocol,Identifier
",",Punctuation
 ,Whitespace
transceiver,Identifier
",",Punctuation
 ,Whitespace
ReflectData,Identifier
.,Punctuation
get,Identifier
(,Punctuation
),Punctuation
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
    ,Whitespace
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
ReflectRequestor,Identifier
(,Punctuation
Class,Identifier
<,Operator
?,Operator
>,Operator
 ,Whitespace
iface,Identifier
",",Punctuation
 ,Whitespace
Transceiver,Identifier
 ,Whitespace
transceiver,Identifier
",",Punctuation
"
",Newline
                          ,Whitespace
ReflectData,Identifier
 ,Whitespace
data,Identifier
),Punctuation
"
",Newline
    ,Whitespace
throws,Keyword
 ,Whitespace
IOException,Identifier
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
this,Keyword
(,Punctuation
data,Identifier
.,Punctuation
getProtocol,Identifier
(,Punctuation
iface,Identifier
),Punctuation
",",Punctuation
 ,Whitespace
transceiver,Identifier
",",Punctuation
 ,Whitespace
data,Identifier
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
    ,Whitespace
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
ReflectRequestor,Identifier
(,Punctuation
Protocol,Identifier
 ,Whitespace
protocol,Identifier
",",Punctuation
 ,Whitespace
Transceiver,Identifier
 ,Whitespace
transceiver,Identifier
",",Punctuation
"
",Newline
                          ,Whitespace
ReflectData,Identifier
 ,Whitespace
data,Identifier
),Punctuation
"
",Newline
    ,Whitespace
throws,Keyword
 ,Whitespace
IOException,Identifier
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
super,Keyword
(,Punctuation
protocol,Identifier
",",Punctuation
 ,Whitespace
transceiver,Identifier
",",Punctuation
 ,Whitespace
data,Identifier
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
    ,Whitespace
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
ReflectData,Identifier
 ,Whitespace
getReflectData,Identifier
(,Punctuation
),Punctuation
 ,Whitespace
{,Punctuation
 ,Whitespace
return,Keyword
 ,Whitespace
(,Punctuation
ReflectData,Identifier
),Punctuation
getSpecificData,Identifier
(,Punctuation
),Punctuation
;,Punctuation
 ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
@,Punctuation
Override,Identifier
"
",Newline
  ,Whitespace
protected,Keyword
 ,Whitespace
DatumWriter,Identifier
<,Operator
Object,Identifier
>,Operator
 ,Whitespace
getDatumWriter,Identifier
(,Punctuation
Schema,Identifier
 ,Whitespace
schema,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
return,Keyword
 ,Whitespace
new,Keyword
 ,Whitespace
ReflectDatumWriter,Identifier
<,Operator
Object,Identifier
>,Operator
(,Punctuation
schema,Identifier
",",Punctuation
 ,Whitespace
getReflectData,Identifier
(,Punctuation
),Punctuation
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
@,Punctuation
Override,Identifier
"
",Newline
  ,Whitespace
protected,Keyword
 ,Whitespace
DatumReader,Identifier
<,Operator
Object,Identifier
>,Operator
 ,Whitespace
getDatumReader,Identifier
(,Punctuation
Schema,Identifier
 ,Whitespace
writer,Identifier
",",Punctuation
 ,Whitespace
Schema,Identifier
 ,Whitespace
reader,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
return,Keyword
 ,Whitespace
new,Keyword
 ,Whitespace
ReflectDatumReader,Identifier
<,Operator
Object,Identifier
>,Operator
(,Punctuation
writer,Identifier
",",Punctuation
 ,Whitespace
reader,Identifier
",",Punctuation
 ,Whitespace
getReflectData,Identifier
(,Punctuation
),Punctuation
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
/** Create a proxy instance whose methods invoke RPCs. */,Comment
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
static,Keyword
 ,Whitespace
<,Operator
T,Identifier
>,Operator
 ,Whitespace
T,Identifier
 ,Whitespace
getClient,Identifier
(,Punctuation
Class,Identifier
<,Operator
T,Identifier
>,Operator
 ,Whitespace
iface,Identifier
",",Punctuation
 ,Whitespace
Transceiver,Identifier
 ,Whitespace
transciever,Identifier
),Punctuation
 ,Whitespace
"
",Newline
    ,Whitespace
throws,Keyword
 ,Whitespace
IOException,Identifier
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
return,Keyword
 ,Whitespace
getClient,Identifier
(,Punctuation
iface,Identifier
",",Punctuation
 ,Whitespace
transciever,Identifier
",",Punctuation
"
",Newline
                     ,Whitespace
new,Keyword
 ,Whitespace
ReflectData,Identifier
(,Punctuation
iface,Identifier
.,Punctuation
getClassLoader,Identifier
(,Punctuation
),Punctuation
),Punctuation
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
/** Create a proxy instance whose methods invoke RPCs. */,Comment
"
",Newline
  ,Whitespace
@,Punctuation
SuppressWarnings,Identifier
(,Punctuation
"""unchecked""",String
),Punctuation
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
static,Keyword
 ,Whitespace
<,Operator
T,Identifier
>,Operator
 ,Whitespace
T,Identifier
 ,Whitespace
getClient,Identifier
(,Punctuation
Class,Identifier
<,Operator
T,Identifier
>,Operator
 ,Whitespace
iface,Identifier
",",Punctuation
 ,Whitespace
Transceiver,Identifier
 ,Whitespace
transciever,Identifier
",",Punctuation
"
",Newline
                                ,Whitespace
ReflectData,Identifier
 ,Whitespace
reflectData,Identifier
),Punctuation
 ,Whitespace
throws,Keyword
 ,Whitespace
IOException,Identifier
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
Protocol,Identifier
 ,Whitespace
protocol,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
reflectData,Identifier
.,Punctuation
