Text,Token
"/**
 * Licensed to the Apache Software Foundation (ASF) under one
 * or more contributor license agreements.  See the NOTICE file
 * distributed with this work for additional information
 * regarding copyright ownership.  The ASF licenses this file
 * to you under the Apache License, Version 2.0 (the
 * ""License""); you may not use this file except in compliance
 * with the License.  You may obtain a copy of the License at
 *
 *     http://www.apache.org/licenses/LICENSE-2.0
 *
 * Unless required by applicable law or agreed to in writing, software
 * distributed under the License is distributed on an ""AS IS"" BASIS,
 * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
 * See the License for the specific language governing permissions and
 * limitations under the License.
 */",Comment
"
",Newline
package,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
tool,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
io,Identifier
.,Punctuation
DataInputStream,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
io,Identifier
.,Punctuation
EOFException,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
io,Identifier
.,Punctuation
InputStream,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
io,Identifier
.,Punctuation
PrintStream,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
util,Identifier
.,Punctuation
List,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
joptsimple,Identifier
.,Punctuation
OptionParser,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
joptsimple,Identifier
.,Punctuation
OptionSet,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
joptsimple,Identifier
.,Punctuation
OptionSpec,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
Schema,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
file,Identifier
.,Punctuation
DataFileConstants,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
file,Identifier
.,Punctuation
DataFileWriter,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
generic,Identifier
.,Punctuation
GenericDatumReader,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
generic,Identifier
.,Punctuation
GenericDatumWriter,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
io,Identifier
.,Punctuation
DatumReader,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
io,Identifier
.,Punctuation
Decoder,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
io,Identifier
.,Punctuation
DecoderFactory,Identifier
;,Punctuation
"
",Newline
"
",Newline
/** Reads new-line delimited JSON records and writers an Avro data file. */,Comment
"
",Newline
public,Keyword
 ,Whitespace
class,Keyword
 ,Whitespace
DataFileWriteTool,Identifier
 ,Whitespace
implements,Keyword
 ,Whitespace
Tool,Identifier
 ,Whitespace
{,Punctuation
"
",Newline
"
",Newline
  ,Whitespace
@,Punctuation
Override,Identifier
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
String,Identifier
 ,Whitespace
getName,Identifier
(,Punctuation
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
return,Keyword
 ,Whitespace
"""fromjson""",String
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
@,Punctuation
Override,Identifier
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
String,Identifier
 ,Whitespace
getShortDescription,Identifier
(,Punctuation
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
return,Keyword
 ,Whitespace
"""Reads JSON records and writes an Avro data file.""",String
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
@,Punctuation
Override,Identifier
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
int,Keyword
 ,Whitespace
run,Identifier
(,Punctuation
InputStream,Identifier
 ,Whitespace
stdin,Identifier
",",Punctuation
 ,Whitespace
PrintStream,Identifier
 ,Whitespace
out,Identifier
",",Punctuation
 ,Whitespace
PrintStream,Identifier
 ,Whitespace
err,Identifier
",",Punctuation
"
",Newline
      ,Whitespace
List,Identifier
<,Operator
String,Identifier
>,Operator
 ,Whitespace
args,Identifier
),Punctuation
 ,Whitespace
throws,Keyword
 ,Whitespace
Exception,Identifier
 ,Whitespace
{,Punctuation
"
",Newline
"
",Newline
    ,Whitespace
OptionParser,Identifier
 ,Whitespace
p,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
new,Keyword
 ,Whitespace
OptionParser,Identifier
(,Punctuation
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
OptionSpec,Identifier
<,Operator
String,Identifier
>,Operator
 ,Whitespace
codec,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
Util,Identifier
.,Punctuation
compressionCodecOption,Identifier
(,Punctuation
p,Identifier
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
OptionSpec,Identifier
<,Operator
Integer,Identifier
>,Operator
 ,Whitespace
level,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
Util,Identifier
.,Punctuation
compressionLevelOption,Identifier
(,Punctuation
p,Identifier
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
OptionSpec,Identifier
<,Operator
String,Identifier
>,Operator
 ,Whitespace
file,Identifier
 ,Whitespace
=,Operator
"
",Newline
        ,Whitespace
p,Identifier
.,Punctuation
accepts,Identifier
(,Punctuation
"""schema-file""",String
",",Punctuation
 ,Whitespace
"""Schema File""",String
),Punctuation
"
",Newline
        ,Whitespace
.,Punctuation
withOptionalArg,Identifier
(,Punctuation
),Punctuation
"
",Newline
        ,Whitespace
.,Punctuation
ofType,Identifier
(,Punctuation
String,Identifier
.,Punctuation
class,Keyword
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
OptionSpec,Identifier
<,Operator
String,Identifier
>,Operator
 ,Whitespace
inschema,Identifier
 ,Whitespace
=,Operator
"
",Newline
        ,Whitespace
p,Identifier
.,Punctuation
accepts,Identifier
(,Punctuation
"""schema""",String
",",Punctuation
 ,Whitespace
"""Schema""",String
),Punctuation
"
",Newline
        ,Whitespace
.,Punctuation
withOptionalArg,Identifier
(,Punctuation
),Punctuation
"
",Newline
        ,Whitespace
.,Punctuation
ofType,Identifier
(,Punctuation
String,Identifier
.,Punctuation
class,Keyword
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
OptionSet,Identifier
 ,Whitespace
opts,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
p,Identifier
.,Punctuation
parse,Identifier
(,Punctuation
args,Identifier
.,Punctuation
toArray,Identifier
(,Punctuation
new,Keyword
 ,Whitespace
String,Identifier
[,Punctuation
0,Literal
],Punctuation
),Punctuation
),Punctuation
;,Punctuation
"
",Newline
"
",Newline
    ,Whitespace
List,Identifier
<,Operator
String,Identifier
>,Operator
 ,Whitespace
nargs,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
opts,Identifier
.,Punctuation
nonOptionArguments,Identifier
(,Punctuation
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
if,Keyword
 ,Whitespace
(,Punctuation
nargs,Identifier
.,Punctuation
size,Identifier
(,Punctuation
),Punctuation
 ,Whitespace
!=,Operator
 ,Whitespace
1,Literal
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
      ,Whitespace
err,Identifier
.,Punctuation
println,Identifier
(,Punctuation
"""Expected 1 arg: input_file""",String
),Punctuation
;,Punctuation
"
",Newline
      ,Whitespace
p,Identifier
.,Punctuation
printHelpOn,Identifier
(,Punctuation
err,Identifier
),Punctuation
;,Punctuation
"
",Newline
      ,Whitespace
return,Keyword
 ,Whitespace
1,Literal
;,Punctuation
"
",Newline
    ,Whitespace
},Punctuation
"
",Newline
    ,Whitespace
String,Identifier
 ,Whitespace
schemastr,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
inschema,Identifier
.,Punctuation
value,Identifier
(,Punctuation
opts,Identifier
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
String,Identifier
 ,Whitespace
schemafile,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
file,Identifier
.,Punctuation
value,Identifier
(,Punctuation
opts,Identifier
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
if,Keyword
 ,Whitespace
(,Punctuation
schemastr,Identifier
 ,Whitespace
==,Operator
 ,Whitespace
null,Keyword
 ,Whitespace
&&,Operator
 ,Whitespace
schemafile,Identifier
 ,Whitespace
==,Operator
 ,Whitespace
null,Keyword
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
        ,Whitespace
err,Identifier
.,Punctuation
println,Identifier
(,Punctuation
"""Need an input schema file (--schema-file) or inline schema (--schema)""",String
),Punctuation
;,Punctuation
"
",Newline
        ,Whitespace
p,Identifier
.,Punctuation
printHelpOn,Identifier
(,Punctuation
err,Identifier
),Punctuation
;,Punctuation
"
",Newline
        ,Whitespace
return,Keyword
 ,Whitespace
1,Literal
;,Punctuation
"
",Newline
    ,Whitespace
},Punctuation
"
",Newline
    ,Whitespace
Schema,Identifier
 ,Whitespace
schema,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
(,Punctuation
schemafile,Identifier
 ,Whitespace
!=,Operator
 ,Whitespace
null,Keyword
),Punctuation
"
",Newline
        ,Whitespace
?,Operator
 ,Whitespace
new,Keyword
 ,Whitespace
Schema,Identifier
.,Punctuation
Parser,Identifier
(,Punctuation
),Punctuation
.,Punctuation
parse,Identifier
(,Punctuation
Util,Identifier
.,Punctuation
openFromFS,Identifier
(,Punctuation
schemafile,Identifier
),Punctuation
),Punctuation
"
",Newline
        ,Whitespace
:,Operator
 ,Whitespace
new,Keyword
 ,Whitespace
Schema,Identifier
.,Punctuation
