Text,Token
"/*
 * Licensed to the Apache Software Foundation (ASF) under one
 * or more contributor license agreements. See the NOTICE file
 * distributed with this work for additional information
 * regarding copyright ownership. The ASF licenses this file
 * to you under the Apache License, Version 2.0 (the
 * ""License""); you may not use this file except in compliance
 * with the License. You may obtain a copy of the License at
 *
 *   http://www.apache.org/licenses/LICENSE-2.0
 *
 * Unless required by applicable law or agreed to in writing,
 * software distributed under the License is distributed on an
 * ""AS IS"" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY
 * KIND, either express or implied. See the License for the
 * specific language governing permissions and limitations
 * under the License.
 */",Comment
"
",Newline
"
",Newline
package,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
ipc,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
io,Identifier
.,Punctuation
IOException,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
io,Identifier
.,Punctuation
EOFException,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
io,Identifier
.,Punctuation
UnsupportedEncodingException,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
net,Identifier
.,Punctuation
SocketAddress,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
nio,Identifier
.,Punctuation
channels,Identifier
.,Punctuation
SocketChannel,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
nio,Identifier
.,Punctuation
ByteBuffer,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
util,Identifier
.,Punctuation
ArrayList,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
util,Identifier
.,Punctuation
List,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
javax,Identifier
.,Punctuation
security,Identifier
.,Punctuation
sasl,Identifier
.,Punctuation
Sasl,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
javax,Identifier
.,Punctuation
security,Identifier
.,Punctuation
sasl,Identifier
.,Punctuation
SaslException,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
javax,Identifier
.,Punctuation
security,Identifier
.,Punctuation
sasl,Identifier
.,Punctuation
SaslClient,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
javax,Identifier
.,Punctuation
security,Identifier
.,Punctuation
sasl,Identifier
.,Punctuation
SaslServer,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
Protocol,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
util,Identifier
.,Punctuation
ByteBufferOutputStream,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
slf4j,Identifier
.,Punctuation
Logger,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
slf4j,Identifier
.,Punctuation
LoggerFactory,Identifier
;,Punctuation
"
",Newline
"
",Newline
"/** A {@link Transceiver} that uses {@link javax.security.sasl} for
 * authentication and encryption. */",Comment
"
",Newline
public,Keyword
 ,Whitespace
class,Keyword
 ,Whitespace
SaslSocketTransceiver,Identifier
 ,Whitespace
extends,Keyword
 ,Whitespace
Transceiver,Identifier
 ,Whitespace
{,Punctuation
"
",Newline
  ,Whitespace
private,Keyword
 ,Whitespace
static,Keyword
 ,Whitespace
final,Keyword
 ,Whitespace
Logger,Identifier
 ,Whitespace
LOG,Identifier
 ,Whitespace
=,Operator
"
",Newline
    ,Whitespace
LoggerFactory,Identifier
.,Punctuation
getLogger,Identifier
(,Punctuation
SaslSocketTransceiver,Identifier
.,Punctuation
class,Keyword
),Punctuation
;,Punctuation
"
",Newline
"
",Newline
  ,Whitespace
private,Keyword
 ,Whitespace
static,Keyword
 ,Whitespace
final,Keyword
 ,Whitespace
ByteBuffer,Identifier
 ,Whitespace
EMPTY,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
ByteBuffer,Identifier
.,Punctuation
allocate,Identifier
(,Punctuation
0,Literal
),Punctuation
;,Punctuation
"
",Newline
"
",Newline
  ,Whitespace
private,Keyword
 ,Whitespace
static,Keyword
 ,Whitespace
enum,Identifier
 ,Whitespace
Status,Identifier
 ,Whitespace
{,Punctuation
 ,Whitespace
START,Identifier
",",Punctuation
 ,Whitespace
CONTINUE,Identifier
",",Punctuation
 ,Whitespace
FAIL,Identifier
",",Punctuation
 ,Whitespace
COMPLETE,Identifier
 ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
private,Keyword
 ,Whitespace
SaslParticipant,Identifier
 ,Whitespace
sasl,Identifier
;,Punctuation
"
",Newline
  ,Whitespace
private,Keyword
 ,Whitespace
SocketChannel,Identifier
 ,Whitespace
channel,Identifier
;,Punctuation
"
",Newline
  ,Whitespace
private,Keyword
 ,Whitespace
boolean,Keyword
 ,Whitespace
dataIsWrapped,Identifier
;,Punctuation
"
",Newline
  ,Whitespace
private,Keyword
 ,Whitespace
boolean,Keyword
 ,Whitespace
saslResponsePiggybacked,Identifier
;,Punctuation
"
",Newline
"
",Newline
  ,Whitespace
private,Keyword
 ,Whitespace
Protocol,Identifier
 ,Whitespace
remote,Identifier
;,Punctuation
"
",Newline
  ,Whitespace
"
",Newline
  ,Whitespace
private,Keyword
 ,Whitespace
ByteBuffer,Identifier
 ,Whitespace
readHeader,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
ByteBuffer,Identifier
.,Punctuation
allocate,Identifier
(,Punctuation
4,Literal
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
private,Keyword
 ,Whitespace
ByteBuffer,Identifier
 ,Whitespace
writeHeader,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
ByteBuffer,Identifier
.,Punctuation
allocate,Identifier
(,Punctuation
4,Literal
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
private,Keyword
 ,Whitespace
ByteBuffer,Identifier
 ,Whitespace
zeroHeader,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
ByteBuffer,Identifier
.,Punctuation
allocate,Identifier
(,Punctuation
4,Literal
),Punctuation
.,Punctuation
putInt,Identifier
(,Punctuation
0,Literal
),Punctuation
;,Punctuation
"
",Newline
"
",Newline
  ,Whitespace
"/** Create using SASL's anonymous (<a
   * href=""http://www.ietf.org/rfc/rfc2245.txt"">RFC 2245) mechanism. */",Comment
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
SaslSocketTransceiver,Identifier
(,Punctuation
SocketAddress,Identifier
 ,Whitespace
address,Identifier
),Punctuation
 ,Whitespace
throws,Keyword
 ,Whitespace
IOException,Identifier
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
this,Keyword
(,Punctuation
address,Identifier
",",Punctuation
 ,Whitespace
new,Keyword
 ,Whitespace
AnonymousClient,Identifier
(,Punctuation
),Punctuation
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
/** Create using the specified {@link SaslClient}. */,Comment
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
SaslSocketTransceiver,Identifier
(,Punctuation
SocketAddress,Identifier
 ,Whitespace
address,Identifier
",",Punctuation
 ,Whitespace
SaslClient,Identifier
 ,Whitespace
saslClient,Identifier
),Punctuation
"
",Newline
    ,Whitespace
throws,Keyword
 ,Whitespace
IOException,Identifier
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
this,Keyword
.,Punctuation
sasl,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
new,Keyword
 ,Whitespace
SaslParticipant,Identifier
(,Punctuation
saslClient,Identifier
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
this,Keyword
.,Punctuation
channel,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
SocketChannel,Identifier
.,Punctuation
open,Identifier
(,Punctuation
address,Identifier
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
this,Keyword
.,Punctuation
channel,Identifier
.,Punctuation
socket,Identifier
(,Punctuation
),Punctuation
.,Punctuation
setTcpNoDelay,Identifier
(,Punctuation
true,Keyword
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
LOG,Identifier
.,Punctuation
debug,Identifier
(,Punctuation
"""open to {}""",String
",",Punctuation
 ,Whitespace
getRemoteName,Identifier
(,Punctuation
),Punctuation
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
open,Identifier
(,Punctuation
true,Keyword
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
/** Create using the specified {@link SaslServer}. */,Comment
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
SaslSocketTransceiver,Identifier
(,Punctuation
SocketChannel,Identifier
 ,Whitespace
channel,Identifier
",",Punctuation
 ,Whitespace
SaslServer,Identifier
 ,Whitespace
saslServer,Identifier
),Punctuation
"
",Newline
    ,Whitespace
throws,Keyword
 ,Whitespace
IOException,Identifier
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
this,Keyword
.,Punctuation
sasl,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
new,Keyword
 ,Whitespace
SaslParticipant,Identifier
(,Punctuation
saslServer,Identifier
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
this,Keyword
.,Punctuation
channel,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
channel,Identifier
;,Punctuation
"
",Newline
    ,Whitespace
LOG,Identifier
.,Punctuation
debug,Identifier
(,Punctuation
"""open from {}""",String
",",Punctuation
 ,Whitespace
getRemoteName,Identifier
(,Punctuation
),Punctuation
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
open,Identifier
(,Punctuation
false,Keyword
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
@,Punctuation
Override,Identifier
 ,Whitespace
public,Keyword
 ,Whitespace
boolean,Keyword
 ,Whitespace
isConnected,Identifier
(,Punctuation
),Punctuation
 ,Whitespace
{,Punctuation
 ,Whitespace
return,Keyword
 ,Whitespace
remote,Identifier
 ,Whitespace
!=,Operator
 ,Whitespace
null,Keyword
;,Punctuation
 ,Whitespace
},Punctuation
