Text,Token
"/**
 * Licensed to the Apache Software Foundation (ASF) under one
 * or more contributor license agreements.  See the NOTICE file
 * distributed with this work for additional information
 * regarding copyright ownership.  The ASF licenses this file
 * to you under the Apache License, Version 2.0 (the
 * ""License""); you may not use this file except in compliance
 * with the License.  You may obtain a copy of the License at
 *
 *     http://www.apache.org/licenses/LICENSE-2.0
 *
 * Unless required by applicable law or agreed to in writing, software
 * distributed under the License is distributed on an ""AS IS"" BASIS,
 * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
 * See the License for the specific language governing permissions and
 * limitations under the License.
 */",Comment
"
",Newline
package,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
data,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
io,Identifier
.,Punctuation
IOException,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
util,Identifier
.,Punctuation
Arrays,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
AvroRuntimeException,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
Schema,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
Schema,Identifier
.,Punctuation
Field,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
Schema,Identifier
.,Punctuation
Type,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
generic,Identifier
.,Punctuation
GenericData,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
generic,Identifier
.,Punctuation
IndexedRecord,Identifier
;,Punctuation
"
",Newline
"
",Newline
/** Abstract base class for RecordBuilder implementations.  Not thread-safe. */,Comment
"
",Newline
public,Keyword
 ,Whitespace
abstract,Keyword
 ,Whitespace
class,Keyword
 ,Whitespace
RecordBuilderBase,Identifier
<,Operator
T,Identifier
 ,Whitespace
extends,Keyword
 ,Whitespace
IndexedRecord,Identifier
>,Operator
 ,Whitespace
"
",Newline
  ,Whitespace
implements,Keyword
 ,Whitespace
RecordBuilder,Identifier
<,Operator
T,Identifier
>,Operator
 ,Whitespace
{,Punctuation
"
",Newline
  ,Whitespace
private,Keyword
 ,Whitespace
static,Keyword
 ,Whitespace
final,Keyword
 ,Whitespace
Field,Identifier
[,Punctuation
],Punctuation
 ,Whitespace
EMPTY_FIELDS,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
new,Keyword
 ,Whitespace
Field,Identifier
[,Punctuation
0,Literal
],Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
private,Keyword
 ,Whitespace
final,Keyword
 ,Whitespace
Schema,Identifier
 ,Whitespace
schema,Identifier
;,Punctuation
"
",Newline
  ,Whitespace
private,Keyword
 ,Whitespace
final,Keyword
 ,Whitespace
Field,Identifier
[,Punctuation
],Punctuation
 ,Whitespace
fields,Identifier
;,Punctuation
"
",Newline
  ,Whitespace
private,Keyword
 ,Whitespace
final,Keyword
 ,Whitespace
boolean,Keyword
[,Punctuation
],Punctuation
 ,Whitespace
fieldSetFlags,Identifier
;,Punctuation
"
",Newline
  ,Whitespace
private,Keyword
 ,Whitespace
final,Keyword
 ,Whitespace
GenericData,Identifier
 ,Whitespace
data,Identifier
;,Punctuation
"
",Newline
  ,Whitespace
"
",Newline
  ,Whitespace
protected,Keyword
 ,Whitespace
final,Keyword
 ,Whitespace
Schema,Identifier
 ,Whitespace
schema,Identifier
(,Punctuation
),Punctuation
 ,Whitespace
{,Punctuation
 ,Whitespace
return,Keyword
 ,Whitespace
schema,Identifier
;,Punctuation
 ,Whitespace
},Punctuation
"
",Newline
  ,Whitespace
protected,Keyword
 ,Whitespace
final,Keyword
 ,Whitespace
Field,Identifier
[,Punctuation
],Punctuation
 ,Whitespace
fields,Identifier
(,Punctuation
),Punctuation
 ,Whitespace
{,Punctuation
 ,Whitespace
return,Keyword
 ,Whitespace
fields,Identifier
;,Punctuation
 ,Whitespace
},Punctuation
"
",Newline
  ,Whitespace
protected,Keyword
 ,Whitespace
final,Keyword
 ,Whitespace
boolean,Keyword
[,Punctuation
],Punctuation
 ,Whitespace
fieldSetFlags,Identifier
(,Punctuation
),Punctuation
 ,Whitespace
{,Punctuation
 ,Whitespace
return,Keyword
 ,Whitespace
fieldSetFlags,Identifier
;,Punctuation
 ,Whitespace
},Punctuation
"
",Newline
  ,Whitespace
protected,Keyword
 ,Whitespace
final,Keyword
 ,Whitespace
GenericData,Identifier
 ,Whitespace
data,Identifier
(,Punctuation
),Punctuation
 ,Whitespace
{,Punctuation
 ,Whitespace
return,Keyword
 ,Whitespace
data,Identifier
;,Punctuation
 ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
"/**
   * Creates a RecordBuilderBase for building records of the given type.
   * @param schema the schema associated with the record class.
   */",Comment
"
",Newline
  ,Whitespace
protected,Keyword
 ,Whitespace
RecordBuilderBase,Identifier
(,Punctuation
Schema,Identifier
 ,Whitespace
schema,Identifier
",",Punctuation
 ,Whitespace
GenericData,Identifier
 ,Whitespace
data,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
this,Keyword
.,Punctuation
schema,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
schema,Identifier
;,Punctuation
"
",Newline
    ,Whitespace
this,Keyword
.,Punctuation
data,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
data,Identifier
;,Punctuation
"
",Newline
    ,Whitespace
fields,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
(,Punctuation
Field,Identifier
[,Punctuation
],Punctuation
),Punctuation
 ,Whitespace
schema,Identifier
.,Punctuation
getFields,Identifier
(,Punctuation
),Punctuation
.,Punctuation
toArray,Identifier
(,Punctuation
EMPTY_FIELDS,Identifier
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
fieldSetFlags,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
new,Keyword
 ,Whitespace
boolean,Keyword
[,Punctuation
fields,Identifier
.,Punctuation
length,Identifier
],Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
  ,Whitespace
"
",Newline
  ,Whitespace
"/**
   * RecordBuilderBase copy constructor.
   * Makes a deep copy of the values in the other builder.
   * @param other RecordBuilderBase instance to copy.
   */",Comment
"
",Newline
  ,Whitespace
protected,Keyword
 ,Whitespace
RecordBuilderBase,Identifier
(,Punctuation
RecordBuilderBase,Identifier
<,Operator
T,Identifier
>,Operator
 ,Whitespace
other,Identifier
",",Punctuation
 ,Whitespace
GenericData,Identifier
 ,Whitespace
data,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
this,Keyword
.,Punctuation
schema,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
other,Identifier
.,Punctuation
schema,Identifier
;,Punctuation
"
",Newline
    ,Whitespace
this,Keyword
.,Punctuation
data,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
data,Identifier
;,Punctuation
"
",Newline
    ,Whitespace
fields,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
(,Punctuation
Field,Identifier
[,Punctuation
],Punctuation
),Punctuation
 ,Whitespace
schema,Identifier
.,Punctuation
getFields,Identifier
(,Punctuation
),Punctuation
.,Punctuation
toArray,Identifier
(,Punctuation
EMPTY_FIELDS,Identifier
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
fieldSetFlags,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
new,Keyword
 ,Whitespace
boolean,Keyword
[,Punctuation
other,Identifier
.,Punctuation
fieldSetFlags,Identifier
.,Punctuation
length,Identifier
],Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
System,Identifier
.,Punctuation
arraycopy,Identifier
(,Punctuation
"
",Newline
        ,Whitespace
other,Identifier
.,Punctuation
fieldSetFlags,Identifier
",",Punctuation
 ,Whitespace
0,Literal
",",Punctuation
 ,Whitespace
fieldSetFlags,Identifier
",",Punctuation
 ,Whitespace
0,Literal
",",Punctuation
 ,Whitespace
fieldSetFlags,Identifier
.,Punctuation
length,Identifier
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
  ,Whitespace
"
",Newline
  ,Whitespace
"/**
   * Validates that a particular value for a given field is valid according to 
   * the following algorithm:
   * 1. If the value is not null, or the field type is null, or the field type 
   * is a union which accepts nulls, returns.
   * 2. Else, if the field has a default value, returns.
   * 3. Otherwise throws AvroRuntimeException. 
   * @param field the field to validate.
   * @param value the value to validate.
   * @throws NullPointerException if value is null and the given field does 
   * not accept null values.
   */",Comment
"
",Newline
  ,Whitespace
protected,Keyword
 ,Whitespace
void,Keyword
 ,Whitespace
validate,Identifier
(,Punctuation
Field,Identifier
 ,Whitespace
field,Identifier
",",Punctuation
 ,Whitespace
Object,Identifier
 ,Whitespace
value,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
if,Keyword
 ,Whitespace
(,Punctuation
isValidValue,Identifier
(,Punctuation
field,Identifier
",",Punctuation
 ,Whitespace
value,Identifier
),Punctuation
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
      ,Whitespace
return,Keyword
;,Punctuation
"
",Newline
    ,Whitespace
},Punctuation
"
",Newline
    ,Whitespace
else,Keyword
 ,Whitespace
if,Keyword
 ,Whitespace
(,Punctuation
field,Identifier
.,Punctuation
defaultValue,Identifier
(,Punctuation
),Punctuation
 ,Whitespace
!=,Operator
 ,Whitespace
null,Keyword
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
      ,Whitespace
return,Keyword
;,Punctuation
"
",Newline
    ,Whitespace
},Punctuation
"
",Newline
    ,Whitespace
else,Keyword
 ,Whitespace
{,Punctuation
"
",Newline
      ,Whitespace
throw,Keyword
 ,Whitespace
new,Keyword
 ,Whitespace
AvroRuntimeException,Identifier
(,Punctuation
"
",Newline
          ,Whitespace
"""Field """,String
 ,Whitespace
+,Operator
 ,Whitespace
field,Identifier
 ,Whitespace
+,Operator
 ,Whitespace
""" does not accept null values""",String
),Punctuation
;,Punctuation
"
",Newline
