Text,Token
"/**
 * Licensed to the Apache Software Foundation (ASF) under one
 * or more contributor license agreements.  See the NOTICE file
 * distributed with this work for additional information
 * regarding copyright ownership.  The ASF licenses this file
 * to you under the Apache License, Version 2.0 (the
 * ""License""); you may not use this file except in compliance
 * with the License.  You may obtain a copy of the License at
 *
 *     http://www.apache.org/licenses/LICENSE-2.0
 *
 * Unless required by applicable law or agreed to in writing, software
 * distributed under the License is distributed on an ""AS IS"" BASIS,
 * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
 * See the License for the specific language governing permissions and
 * limitations under the License.
 */",Comment
"
",Newline
"
",Newline
package,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
;,Punctuation
"
",Newline
"
",Newline
/** Thrown for errors parsing schemas and protocols. */,Comment
"
",Newline
public,Keyword
 ,Whitespace
class,Keyword
 ,Whitespace
SchemaParseException,Identifier
 ,Whitespace
extends,Keyword
 ,Whitespace
AvroRuntimeException,Identifier
 ,Whitespace
{,Punctuation
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
SchemaParseException,Identifier
(,Punctuation
Throwable,Identifier
 ,Whitespace
cause,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
 ,Whitespace
super,Keyword
(,Punctuation
cause,Identifier
),Punctuation
;,Punctuation
 ,Whitespace
},Punctuation
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
SchemaParseException,Identifier
(,Punctuation
String,Identifier
 ,Whitespace
message,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
 ,Whitespace
super,Keyword
(,Punctuation
message,Identifier
),Punctuation
;,Punctuation
 ,Whitespace
},Punctuation
"
",Newline
},Punctuation
"
",Newline
"
",Newline
