Text,Token
"/**
 * Licensed to the Apache Software Foundation (ASF) under one
 * or more contributor license agreements.  See the NOTICE file
 * distributed with this work for additional information
 * regarding copyright ownership.  The ASF licenses this file
 * to you under the Apache License, Version 2.0 (the
 * ""License""); you may not use this file except in compliance
 * with the License.  You may obtain a copy of the License at
 *
 *     http://www.apache.org/licenses/LICENSE-2.0
 *
 * Unless required by applicable law or agreed to in writing, software
 * distributed under the License is distributed on an ""AS IS"" BASIS,
 * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
 * See the License for the specific language governing permissions and
 * limitations under the License.
 */",Comment
"
",Newline
package,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
ipc,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
nio,Identifier
.,Punctuation
ByteBuffer,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
util,Identifier
.,Punctuation
HashMap,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
util,Identifier
.,Punctuation
List,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
util,Identifier
.,Punctuation
Map,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
Protocol,Identifier
.,Punctuation
Message,Identifier
;,Punctuation
"
",Newline
"
",Newline
"/**
 * This class represents the context of an RPC call or RPC handshake.
 * Designed to provide information to RPC plugin writers,
 * this class encapsulates information about the rpc exchange,
 * including handshake and call metadata. Note: this data includes
 * full copies of the RPC payload, so plugins which store RPCContexts
 * beyond the life of each call should be conscious of memory use.
 *
 */",Comment
"
",Newline
public,Keyword
 ,Whitespace
class,Keyword
 ,Whitespace
RPCContext,Identifier
 ,Whitespace
{,Punctuation
"
",Newline
  ,Whitespace
"
",Newline
  ,Whitespace
private,Keyword
 ,Whitespace
HandshakeRequest,Identifier
 ,Whitespace
handshakeRequest,Identifier
;,Punctuation
"
",Newline
  ,Whitespace
private,Keyword
 ,Whitespace
HandshakeResponse,Identifier
 ,Whitespace
handshakeResponse,Identifier
;,Punctuation
"
",Newline
"
",Newline
  ,Whitespace
protected,Keyword
 ,Whitespace
Map,Identifier
<,Operator
String,Identifier
",",Punctuation
ByteBuffer,Identifier
>,Operator
 ,Whitespace
requestCallMeta,Identifier
",",Punctuation
 ,Whitespace
responseCallMeta,Identifier
;,Punctuation
"
",Newline
  ,Whitespace
"
",Newline
  ,Whitespace
protected,Keyword
 ,Whitespace
Object,Identifier
 ,Whitespace
response,Identifier
;,Punctuation
"
",Newline
  ,Whitespace
protected,Keyword
 ,Whitespace
Exception,Identifier
 ,Whitespace
error,Identifier
;,Punctuation
"
",Newline
  ,Whitespace
private,Keyword
 ,Whitespace
Message,Identifier
 ,Whitespace
message,Identifier
;,Punctuation
"
",Newline
  ,Whitespace
List,Identifier
<,Operator
ByteBuffer,Identifier
>,Operator
 ,Whitespace
requestPayload,Identifier
;,Punctuation
"
",Newline
  ,Whitespace
List,Identifier
<,Operator
ByteBuffer,Identifier
>,Operator
 ,Whitespace
responsePayload,Identifier
;,Punctuation
"
",Newline
  ,Whitespace
"
",Newline
  ,Whitespace
/** Set the handshake request of this RPC. */,Comment
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
void,Keyword
 ,Whitespace
setHandshakeRequest,Identifier
(,Punctuation
HandshakeRequest,Identifier
 ,Whitespace
handshakeRequest,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
this,Keyword
.,Punctuation
handshakeRequest,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
handshakeRequest,Identifier
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
  ,Whitespace
"
",Newline
  ,Whitespace
/** Get the handshake request of this RPC. */,Comment
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
HandshakeRequest,Identifier
 ,Whitespace
getHandshakeRequest,Identifier
(,Punctuation
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
return,Keyword
 ,Whitespace
this,Keyword
.,Punctuation
handshakeRequest,Identifier
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
  ,Whitespace
"
",Newline
  ,Whitespace
/** Set the handshake response of this RPC. */,Comment
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
void,Keyword
 ,Whitespace
setHandshakeResponse,Identifier
(,Punctuation
HandshakeResponse,Identifier
 ,Whitespace
handshakeResponse,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
this,Keyword
.,Punctuation
handshakeResponse,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
handshakeResponse,Identifier
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
  ,Whitespace
"
",Newline
  ,Whitespace
/** Get the handshake response of this RPC. */,Comment
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
HandshakeResponse,Identifier
 ,Whitespace
getHandshakeResponse,Identifier
(,Punctuation
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
return,Keyword
 ,Whitespace
this,Keyword
.,Punctuation
handshakeResponse,Identifier
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
"/**
   * This is an access method for the handshake state
   * provided by the client to the server.
   * @return a map representing handshake state from
   * the client to the server
   */",Comment
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
Map,Identifier
<,Operator
String,Identifier
",",Punctuation
ByteBuffer,Identifier
>,Operator
 ,Whitespace
requestHandshakeMeta,Identifier
(,Punctuation
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
if,Keyword
 ,Whitespace
(,Punctuation
handshakeRequest,Identifier
.,Punctuation
meta,Identifier
 ,Whitespace
==,Operator
 ,Whitespace
null,Keyword
),Punctuation
"
",Newline
      ,Whitespace
handshakeRequest,Identifier
.,Punctuation
meta,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
new,Keyword
 ,Whitespace
HashMap,Identifier
<,Operator
String,Identifier
",",Punctuation
ByteBuffer,Identifier
>,Operator
(,Punctuation
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
return,Keyword
 ,Whitespace
handshakeRequest,Identifier
.,Punctuation
meta,Identifier
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
  ,Whitespace
"
",Newline
  ,Whitespace
void,Keyword
 ,Whitespace
setRequestHandshakeMeta,Identifier
(,Punctuation
Map,Identifier
<,Operator
String,Identifier
",",Punctuation
ByteBuffer,Identifier
>,Operator
 ,Whitespace
newmeta,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
handshakeRequest,Identifier
.,Punctuation
meta,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
newmeta,Identifier
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
  ,Whitespace
"
",Newline
  ,Whitespace
"/**
   * This is an access method for the handshake state
   * provided by the server back to the client
   * @return a map representing handshake state from
   * the server to the client
   */",Comment
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
Map,Identifier
<,Operator
String,Identifier
",",Punctuation
ByteBuffer,Identifier
>,Operator
 ,Whitespace
responseHandshakeMeta,Identifier
(,Punctuation
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
if,Keyword
 ,Whitespace
(,Punctuation
handshakeResponse,Identifier
.,Punctuation
meta,Identifier
 ,Whitespace
==,Operator
 ,Whitespace
null,Keyword
),Punctuation
"
",Newline
      ,Whitespace
handshakeResponse,Identifier
.,Punctuation
meta,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
new,Keyword
 ,Whitespace
HashMap,Identifier
<,Operator
String,Identifier
",",Punctuation
ByteBuffer,Identifier
>,Operator
(,Punctuation
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
return,Keyword
 ,Whitespace
handshakeResponse,Identifier
.,Punctuation
meta,Identifier
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
  ,Whitespace
"
",Newline
  ,Whitespace
void,Keyword
 ,Whitespace
setResponseHandshakeMeta,Identifier
(,Punctuation
Map,Identifier
<,Operator
String,Identifier
",",Punctuation
ByteBuffer,Identifier
>,Operator
 ,Whitespace
newmeta,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
handshakeResponse,Identifier
.,Punctuation
meta,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
newmeta,Identifier
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
  ,Whitespace
"
",Newline
  ,Whitespace
"/**
   * This is an access method for the per-call state
   * provided by the client to the server.
   * @return a map representing per-call state from
   * the client to the server
   */",Comment
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
Map,Identifier
<,Operator
String,Identifier
",",Punctuation
ByteBuffer,Identifier
>,Operator
 ,Whitespace
requestCallMeta,Identifier
(,Punctuation
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
if,Keyword
 ,Whitespace
(,Punctuation
requestCallMeta,Identifier
 ,Whitespace
==,Operator
 ,Whitespace
null,Keyword
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
      ,Whitespace
requestCallMeta,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
new,Keyword
 ,Whitespace
HashMap,Identifier
<,Operator
String,Identifier
",",Punctuation
ByteBuffer,Identifier
>,Operator
(,Punctuation
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
},Punctuation
"
",Newline
    ,Whitespace
return,Keyword
 ,Whitespace
requestCallMeta,Identifier
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
  ,Whitespace
"
",Newline
  ,Whitespace
void,Keyword
 ,Whitespace
setRequestCallMeta,Identifier
(,Punctuation
Map,Identifier
<,Operator
String,Identifier
",",Punctuation
ByteBuffer,Identifier
>,Operator
 ,Whitespace
newmeta,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
requestCallMeta,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
newmeta,Identifier
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
  ,Whitespace
"
",Newline
  ,Whitespace
"/**
   * This is an access method for the per-call state
   * provided by the server back to the client.
   * @return a map representing per-call state from
   * the server to the client
   */",Comment
