Text,Token
"/**
 * Licensed to the Apache Software Foundation (ASF) under one
 * or more contributor license agreements.  See the NOTICE file
 * distributed with this work for additional information
 * regarding copyright ownership.  The ASF licenses this file
 * to you under the Apache License, Version 2.0 (the
 * ""License""); you may not use this file except in compliance
 * with the License.  You may obtain a copy of the License at
 *
 *     http://www.apache.org/licenses/LICENSE-2.0
 *
 * Unless required by applicable law or agreed to in writing, software
 * distributed under the License is distributed on an ""AS IS"" BASIS,
 * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or
 * implied.  See the License for the specific language governing
 * permissions and limitations under the License.
 */",Comment
"
",Newline
"
",Newline
package,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
hadoop,Identifier
.,Punctuation
io,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
util,Identifier
.,Punctuation
Arrays,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
Schema,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
generic,Identifier
.,Punctuation
GenericRecord,Identifier
;,Punctuation
"
",Newline
"
",Newline
"/**
 * A helper object for working with the Avro generic records that are used to store key/value
 * pairs in an Avro container file.
 *
 * @param <K> The java type for the key.
 * @param <V> The java type for the value.
 */",Comment
"
",Newline
public,Keyword
 ,Whitespace
class,Keyword
 ,Whitespace
AvroKeyValue,Identifier
<,Operator
K,Identifier
",",Punctuation
 ,Whitespace
V,Identifier
>,Operator
 ,Whitespace
{,Punctuation
"
",Newline
  ,Whitespace
/** The name of the key value pair generic record. */,Comment
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
static,Keyword
 ,Whitespace
final,Keyword
 ,Whitespace
String,Identifier
 ,Whitespace
KEY_VALUE_PAIR_RECORD_NAME,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
"""KeyValuePair""",String
;,Punctuation
"
",Newline
"
",Newline
  ,Whitespace
/** The namespace of the key value pair generic record. */,Comment
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
static,Keyword
 ,Whitespace
final,Keyword
 ,Whitespace
String,Identifier
 ,Whitespace
KEY_VALUE_PAIR_RECORD_NAMESPACE,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
"""org.apache.avro.mapreduce""",String
;,Punctuation
"
",Newline
"
",Newline
  ,Whitespace
/** The name of the generic record field containing the key. */,Comment
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
static,Keyword
 ,Whitespace
final,Keyword
 ,Whitespace
String,Identifier
 ,Whitespace
KEY_FIELD,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
"""key""",String
;,Punctuation
"
",Newline
"
",Newline
  ,Whitespace
/** The name of the generic record field containing the value. */,Comment
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
static,Keyword
 ,Whitespace
final,Keyword
 ,Whitespace
String,Identifier
 ,Whitespace
VALUE_FIELD,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
"""value""",String
;,Punctuation
"
",Newline
"
",Newline
  ,Whitespace
/** The key/value generic record wrapped by this class. */,Comment
"
",Newline
  ,Whitespace
private,Keyword
 ,Whitespace
final,Keyword
 ,Whitespace
GenericRecord,Identifier
 ,Whitespace
mKeyValueRecord,Identifier
;,Punctuation
"
",Newline
"
",Newline
  ,Whitespace
"/**
   * Wraps a GenericRecord that is a key value pair.
   */",Comment
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
AvroKeyValue,Identifier
(,Punctuation
GenericRecord,Identifier
 ,Whitespace
keyValueRecord,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
mKeyValueRecord,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
keyValueRecord,Identifier
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
"/**
   * Gets the wrapped key/value GenericRecord.
   *
   * @return The key/value Avro generic record.
   */",Comment
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
GenericRecord,Identifier
 ,Whitespace
get,Identifier
(,Punctuation
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
return,Keyword
 ,Whitespace
mKeyValueRecord,Identifier
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
"/**
   * Read the key.
   *
   * @return The key from the key/value generic record.
   */",Comment
"
",Newline
  ,Whitespace
@,Punctuation
SuppressWarnings,Identifier
(,Punctuation
"""unchecked""",String
),Punctuation
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
K,Identifier
 ,Whitespace
getKey,Identifier
(,Punctuation
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
return,Keyword
 ,Whitespace
(,Punctuation
K,Identifier
),Punctuation
 ,Whitespace
mKeyValueRecord,Identifier
.,Punctuation
get,Identifier
(,Punctuation
KEY_FIELD,Identifier
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
"/**
   * Read the value.
   *
   * @return The value from the key/value generic record.
   */",Comment
"
",Newline
  ,Whitespace
@,Punctuation
SuppressWarnings,Identifier
(,Punctuation
"""unchecked""",String
),Punctuation
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
V,Identifier
 ,Whitespace
getValue,Identifier
(,Punctuation
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
return,Keyword
 ,Whitespace
(,Punctuation
V,Identifier
),Punctuation
 ,Whitespace
mKeyValueRecord,Identifier
.,Punctuation
get,Identifier
(,Punctuation
VALUE_FIELD,Identifier
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
"/**
   * Sets the key.
   *
   * @param key The key.
   */",Comment
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
void,Keyword
 ,Whitespace
setKey,Identifier
(,Punctuation
K,Identifier
 ,Whitespace
key,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
mKeyValueRecord,Identifier
.,Punctuation
put,Identifier
(,Punctuation
KEY_FIELD,Identifier
",",Punctuation
 ,Whitespace
key,Identifier
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
"/**
   * Sets the value.
   *
   * @param value The value.
   */",Comment
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
void,Keyword
 ,Whitespace
setValue,Identifier
(,Punctuation
V,Identifier
 ,Whitespace
value,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
mKeyValueRecord,Identifier
.,Punctuation
put,Identifier
(,Punctuation
VALUE_FIELD,Identifier
",",Punctuation
 ,Whitespace
value,Identifier
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
"/**
   * Creates a KeyValuePair generic record schema.
   *
   * @return A schema for a generic record with two fields: 'key' and 'value'.
   */",Comment
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
static,Keyword
 ,Whitespace
Schema,Identifier
 ,Whitespace
getSchema,Identifier
(,Punctuation
Schema,Identifier
 ,Whitespace
keySchema,Identifier
",",Punctuation
 ,Whitespace
Schema,Identifier
 ,Whitespace
valueSchema,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
Schema,Identifier
 ,Whitespace
schema,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
Schema,Identifier
.,Punctuation
createRecord,Identifier
(,Punctuation
"
",Newline
        ,Whitespace
KEY_VALUE_PAIR_RECORD_NAME,Identifier
",",Punctuation
 ,Whitespace
"""A key/value pair""",String
",",Punctuation
 ,Whitespace
KEY_VALUE_PAIR_RECORD_NAMESPACE,Identifier
",",Punctuation
 ,Whitespace
false,Keyword
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
schema,Identifier
.,Punctuation
setFields,Identifier
(,Punctuation
Arrays,Identifier
.,Punctuation
asList,Identifier
(,Punctuation
"
",Newline
        ,Whitespace
new,Keyword
 ,Whitespace
Schema,Identifier
.,Punctuation
Field,Identifier
(,Punctuation
KEY_FIELD,Identifier
",",Punctuation
 ,Whitespace
keySchema,Identifier
",",Punctuation
 ,Whitespace
"""The key""",String
",",Punctuation
 ,Whitespace
null,Keyword
),Punctuation
",",Punctuation
"
",Newline
        ,Whitespace
new,Keyword
 ,Whitespace
Schema,Identifier
.,Punctuation
Field,Identifier
(,Punctuation
VALUE_FIELD,Identifier
",",Punctuation
 ,Whitespace
valueSchema,Identifier
",",Punctuation
 ,Whitespace
"""The value""",String
",",Punctuation
 ,Whitespace
null,Keyword
),Punctuation
),Punctuation
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
return,Keyword
 ,Whitespace
schema,Identifier
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
"/**
   * A wrapper for iterators over GenericRecords that are known to be KeyValue records.
   *
   * @param <K> The key type.
   * @param <V> The value type.
   */",Comment
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
static,Keyword
 ,Whitespace
class,Keyword
 ,Whitespace
Iterator,Identifier
<,Operator
K,Identifier
",",Punctuation
 ,Whitespace
V,Identifier
>,Operator
 ,Whitespace
implements,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
util,Identifier
.,Punctuation
Iterator,Identifier
<,Operator
AvroKeyValue,Identifier
<,Operator
K,Identifier
",",Punctuation
 ,Whitespace
V,Identifier
>>,Operator
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
/** The wrapped iterator. */,Comment
"
",Newline
    ,Whitespace
private,Keyword
 ,Whitespace
final,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
util,Identifier
.,Punctuation
Iterator,Identifier
<,Operator
?,Operator
 ,Whitespace
extends,Keyword
 ,Whitespace
GenericRecord,Identifier
>,Operator
 ,Whitespace
mGenericIterator,Identifier
;,Punctuation
"
",Newline
"
",Newline
    ,Whitespace
"/**
     * Constructs an iterator over key-value map entries out of a generic iterator.
     *
     * @param genericIterator An iterator over some generic record entries.
     */",Comment
"
",Newline
    ,Whitespace
public,Keyword
 ,Whitespace
Iterator,Identifier
(,Punctuation
java,Identifier
.,Punctuation
util,Identifier
.,Punctuation
Iterator,Identifier
