Text,Token
"/**
 * Licensed to the Apache Software Foundation (ASF) under one
 * or more contributor license agreements.  See the NOTICE file
 * distributed with this work for additional information
 * regarding copyright ownership.  The ASF licenses this file
 * to you under the Apache License, Version 2.0 (the
 * ""License""); you may not use this file except in compliance
 * with the License.  You may obtain a copy of the License at
 *
 *     http://www.apache.org/licenses/LICENSE-2.0
 *
 * Unless required by applicable law or agreed to in writing, software
 * distributed under the License is distributed on an ""AS IS"" BASIS,
 * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
 * See the License for the specific language governing permissions and
 * limitations under the License.
 */",Comment
"
",Newline
"
",Newline
package,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
ipc,Identifier
.,Punctuation
trace,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
io,Identifier
.,Punctuation
File,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
io,Identifier
.,Punctuation
IOException,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
util,Identifier
.,Punctuation
ArrayList,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
util,Identifier
.,Punctuation
HashMap,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
util,Identifier
.,Punctuation
Iterator,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
util,Identifier
.,Punctuation
LinkedList,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
util,Identifier
.,Punctuation
List,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
util,Identifier
.,Punctuation
TreeMap,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
util,Identifier
.,Punctuation
concurrent,Identifier
.,Punctuation
BlockingQueue,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
util,Identifier
.,Punctuation
concurrent,Identifier
.,Punctuation
LinkedBlockingQueue,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
file,Identifier
.,Punctuation
CodecFactory,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
file,Identifier
.,Punctuation
DataFileReader,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
file,Identifier
.,Punctuation
DataFileWriter,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
specific,Identifier
.,Punctuation
SpecificDatumReader,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
specific,Identifier
.,Punctuation
SpecificDatumWriter,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
slf4j,Identifier
.,Punctuation
Logger,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
slf4j,Identifier
.,Punctuation
LoggerFactory,Identifier
;,Punctuation
"
",Newline
"
",Newline
"/**
 * A file-based { @link SpanStorage } implementation for Avro's 
 * { @link TracePlugin }. This class has two modes, one in which writes are 
 * buffered and one in which they are not. Even without buffering, there will be
 * some delay between reporting of a Span and the actual disk write.
 */",Comment
"
",Newline
public,Keyword
 ,Whitespace
class,Keyword
 ,Whitespace
FileSpanStorage,Identifier
 ,Whitespace
implements,Keyword
 ,Whitespace
SpanStorage,Identifier
 ,Whitespace
{,Punctuation
"
",Newline
  ,Whitespace
"/*
   * We use rolling Avro data files that store Span data associated with ten 
   * minute chunks (this provides a simple way to index on time). Because we 
   * enforce an upper limit on the number of spans stored, we simply drop 
   * oldest file if and when the next write causes us to exceed that limit. This
   * approximates a FIFO queue of spans, which is basically what we want to 
   * maintain.
   * 
   * Focus is on efficiency since most logic occurs every
   * time a span is recorded (that is, every RPC call).
   * 
   * We never want to block on span adding operations, which occur in the same
   * thread as the Requestor. We are okay to block on span retrieving 
   * operations, since they typically run the RPCPlugin's own servlet. To
   * avoid blocking on span addition we use a separate WriterThread which reads
   * a BlockingQueue of Spans and writes span data to disk.  
   */",Comment
"
",Newline
  ,Whitespace
"
",Newline
  ,Whitespace
private,Keyword
 ,Whitespace
class,Keyword
 ,Whitespace
DiskWriterThread,Identifier
 ,Whitespace
implements,Keyword
 ,Whitespace
Runnable,Identifier
 ,Whitespace
{,Punctuation
"
",Newline
"
",Newline
    ,Whitespace
/** Shared Span queue. Read-only for this thread. */,Comment
"
",Newline
    ,Whitespace
private,Keyword
 ,Whitespace
BlockingQueue,Identifier
<,Operator
Span,Identifier
>,Operator
 ,Whitespace
outstanding,Identifier
;,Punctuation
"
",Newline
    ,Whitespace
"
",Newline
    ,Whitespace
/** Shared queue of files currently in view. Read/write for this thread. */,Comment
"
",Newline
    ,Whitespace
private,Keyword
 ,Whitespace
TreeMap,Identifier
<,Operator
Long,Identifier
",",Punctuation
 ,Whitespace
File,Identifier
>,Operator
 ,Whitespace
files,Identifier
;,Punctuation
"
",Newline
    ,Whitespace
"
",Newline
    ,Whitespace
/** How many Spans already written to each file. */,Comment
"
",Newline
    ,Whitespace
private,Keyword
 ,Whitespace
HashMap,Identifier
<,Operator
File,Identifier
",",Punctuation
 ,Whitespace
Long,Identifier
>,Operator
 ,Whitespace
spansPerFile,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
new,Keyword
 ,Whitespace
HashMap,Identifier
<,Operator
File,Identifier
",",Punctuation
 ,Whitespace
Long,Identifier
>,Operator
(,Punctuation
),Punctuation
;,Punctuation
  ,Whitespace
"
",Newline
    ,Whitespace
"
",Newline
    ,Whitespace
/** Total spans already written so far. */,Comment
"
",Newline
    ,Whitespace
private,Keyword
 ,Whitespace
long,Keyword
 ,Whitespace
spansSoFar,Identifier
;,Punctuation
"
",Newline
        ,Whitespace
"
",Newline
    ,Whitespace
/** DiskWriter for current file. */,Comment
"
",Newline
    ,Whitespace
private,Keyword
 ,Whitespace
DataFileWriter,Identifier
<,Operator
Span,Identifier
>,Operator
 ,Whitespace
currentWriter,Identifier
;,Punctuation
"
",Newline
    ,Whitespace
"
",Newline
    ,Whitespace
/** Timestamp of the current file. */,Comment
"
",Newline
    ,Whitespace
private,Keyword
 ,Whitespace
long,Keyword
 ,Whitespace
currentTimestamp,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
(,Punctuation
long,Keyword
),Punctuation
 ,Whitespace
0,Literal
;,Punctuation
"
",Newline
    ,Whitespace
"
",Newline
    ,Whitespace
/** Whether to buffer file writes.*/,Comment
"
",Newline
    ,Whitespace
private,Keyword
 ,Whitespace
boolean,Keyword
 ,Whitespace
doBuffer,Identifier
;,Punctuation
"
",Newline
    ,Whitespace
"
",Newline
    ,Whitespace
/** Compression level for files. */,Comment
"
",Newline
    ,Whitespace
private,Keyword
 ,Whitespace
int,Keyword
 ,Whitespace
compressionLevel,Identifier
;,Punctuation
"
",Newline
    ,Whitespace
"
",Newline
    ,Whitespace
"/**
     * Thread that runs continuously and writes outstanding requests to
     * Avro files. This thread also deals with rolling files over and dropping
     * old files when the span limit is reached.
     * @param compressionLevel 
     */",Comment
"
",Newline
    ,Whitespace
public,Keyword
 ,Whitespace
DiskWriterThread,Identifier
(,Punctuation
BlockingQueue,Identifier
<,Operator
Span,Identifier
>,Operator
 ,Whitespace
outstanding,Identifier
",",Punctuation
  ,Whitespace
"
",Newline
        ,Whitespace
TreeMap,Identifier
<,Operator
Long,Identifier
",",Punctuation
 ,Whitespace
File,Identifier
>,Operator
 ,Whitespace
files,Identifier
",",Punctuation
 ,Whitespace
boolean,Keyword
 ,Whitespace
buffer,Identifier
",",Punctuation
 ,Whitespace
"
",Newline
        ,Whitespace
int,Keyword
 ,Whitespace
compressionLevel,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
      ,Whitespace
this,Keyword
.,Punctuation
outstanding,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
outstanding,Identifier
;,Punctuation
"
",Newline
      ,Whitespace
this,Keyword
.,Punctuation
files,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
files,Identifier
;,Punctuation
"
",Newline
      ,Whitespace
this,Keyword
.,Punctuation
doBuffer,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
buffer,Identifier
;,Punctuation
"
",Newline
      ,Whitespace
this,Keyword
.,Punctuation
compressionLevel,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
compressionLevel,Identifier
;,Punctuation
 ,Whitespace
"
",Newline
      ,Whitespace
"
",Newline
      ,Whitespace
"/* TODO(pwendell) load existing files here.
       * 
       * If we decide to re-factor TracePlugin such that only one exists, we 
       * can safely load old span files and include them here.*/",Comment
 ,Whitespace
"
",Newline
    ,Whitespace
},Punctuation
"
",Newline
    ,Whitespace
"
",Newline
    ,Whitespace
public,Keyword
 ,Whitespace
void,Keyword
 ,Whitespace
run,Identifier
(,Punctuation
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
      ,Whitespace
while,Keyword
 ,Whitespace
(,Punctuation
true,Keyword
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
        ,Whitespace
Span,Identifier
 ,Whitespace
s,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
null,Keyword
;,Punctuation
"
",Newline
        ,Whitespace
try,Keyword
 ,Whitespace
{,Punctuation
"
",Newline
          ,Whitespace
s,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
this,Keyword
.,Punctuation
outstanding,Identifier
.,Punctuation
take,Identifier
(,Punctuation
),Punctuation
;,Punctuation
"
",Newline
        ,Whitespace
},Punctuation
 ,Whitespace
catch,Keyword
 ,Whitespace
(,Punctuation
InterruptedException,Identifier
 ,Whitespace
e1,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
          ,Whitespace
LOG,Identifier
.,Punctuation
warn,Identifier
(,Punctuation
"""Thread interrupted""",String
),Punctuation
;,Punctuation
"
",Newline
          ,Whitespace
Thread,Identifier
.,Punctuation
currentThread,Identifier
(,Punctuation
),Punctuation
