Text,Token
"/**
 * Licensed to the Apache Software Foundation (ASF) under one
 * or more contributor license agreements.  See the NOTICE file
 * distributed with this work for additional information
 * regarding copyright ownership.  The ASF licenses this file
 * to you under the Apache License, Version 2.0 (the
 * ""License""); you may not use this file except in compliance
 * with the License.  You may obtain a copy of the License at
 *
 *     http://www.apache.org/licenses/LICENSE-2.0
 *
 * Unless required by applicable law or agreed to in writing, software
 * distributed under the License is distributed on an ""AS IS"" BASIS,
 * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
 * See the License for the specific language governing permissions and
 * limitations under the License.
 */",Comment
"
",Newline
package,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
generic,Identifier
;,Punctuation
"
",Newline
"
",Newline
"/** A generic instance of a record schema.  Fields are accessible by name as
 * well as by index. */",Comment
"
",Newline
public,Keyword
 ,Whitespace
interface,Keyword
 ,Whitespace
GenericRecord,Identifier
 ,Whitespace
extends,Keyword
 ,Whitespace
IndexedRecord,Identifier
 ,Whitespace
{,Punctuation
"
",Newline
  ,Whitespace
/** Set the value of a field given its name. */,Comment
"
",Newline
  ,Whitespace
void,Keyword
 ,Whitespace
put,Identifier
(,Punctuation
String,Identifier
 ,Whitespace
key,Identifier
",",Punctuation
 ,Whitespace
Object,Identifier
 ,Whitespace
v,Identifier
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
/** Return the value of a field given its name. */,Comment
"
",Newline
  ,Whitespace
Object,Identifier
 ,Whitespace
get,Identifier
(,Punctuation
String,Identifier
 ,Whitespace
key,Identifier
),Punctuation
;,Punctuation
"
",Newline
},Punctuation
"
",Newline
