Text,Token
"/**
 * Licensed to the Apache Software Foundation (ASF) under one
 * or more contributor license agreements.  See the NOTICE file
 * distributed with this work for additional information
 * regarding copyright ownership.  The ASF licenses this file
 * to you under the Apache License, Version 2.0 (the
 * ""License""); you may not use this file except in compliance
 * with the License.  You may obtain a copy of the License at
 *
 *     http://www.apache.org/licenses/LICENSE-2.0
 *
 * Unless required by applicable law or agreed to in writing, software
 * distributed under the License is distributed on an ""AS IS"" BASIS,
 * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
 * See the License for the specific language governing permissions and
 * limitations under the License.
 */",Comment
"
",Newline
package,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
reflect,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
lang,Identifier
.,Punctuation
annotation,Identifier
.,Punctuation
Documented,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
lang,Identifier
.,Punctuation
annotation,Identifier
.,Punctuation
ElementType,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
lang,Identifier
.,Punctuation
annotation,Identifier
.,Punctuation
Retention,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
lang,Identifier
.,Punctuation
annotation,Identifier
.,Punctuation
RetentionPolicy,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
lang,Identifier
.,Punctuation
annotation,Identifier
.,Punctuation
Target,Identifier
;,Punctuation
"
",Newline
"
",Newline
"/**
 * Declares that a Java type should have a specified Avro schema, overriding
 * the normally inferred schema.  May be used for classes, parameters, fields
 * and method return types.
 * <p> This is useful for slight alterations to the schema that would be
 * automatically inferred.  For example, a
 * <code>List&lt;Integer&gt;</code>whose elements may be null might use the
 * annotation
 * <pre>@AvroSchema(""{\""type\"":\""array\"",\""items\"":[\""null\"",\""int\""]}"")</pre>
 * since the {@link Nullable} annotation could not be used here.
 */",Comment
"
",Newline
@,Punctuation
Retention,Identifier
(,Punctuation
RetentionPolicy,Identifier
.,Punctuation
RUNTIME,Identifier
),Punctuation
"
",Newline
  ,Whitespace
@,Punctuation
Target,Identifier
(,Punctuation
{,Punctuation
ElementType,Identifier
.,Punctuation
TYPE,Identifier
",",Punctuation
 ,Whitespace
ElementType,Identifier
.,Punctuation
PARAMETER,Identifier
",",Punctuation
"
",Newline
           ,Whitespace
ElementType,Identifier
.,Punctuation
METHOD,Identifier
",",Punctuation
 ,Whitespace
ElementType,Identifier
.,Punctuation
FIELD,Identifier
},Punctuation
),Punctuation
"
",Newline
@,Punctuation
Documented,Identifier
"
",Newline
public,Keyword
 ,Whitespace
@,Punctuation
interface,Keyword
 ,Whitespace
AvroSchema,Identifier
 ,Whitespace
{,Punctuation
"
",Newline
  ,Whitespace
/** The schema to use for this value. */,Comment
"
",Newline
  ,Whitespace
String,Identifier
 ,Whitespace
value,Identifier
(,Punctuation
),Punctuation
;,Punctuation
"
",Newline
},Punctuation
"
",Newline
