Text,Token
"/**
 * Licensed to the Apache Software Foundation (ASF) under one
 * or more contributor license agreements.  See the NOTICE file
 * distributed with this work for additional information
 * regarding copyright ownership.  The ASF licenses this file
 * to you under the Apache License, Version 2.0 (the
 * ""License""); you may not use this file except in compliance
 * with the License.  You may obtain a copy of the License at
 *
 *     http://www.apache.org/licenses/LICENSE-2.0
 *
 * Unless required by applicable law or agreed to in writing, software
 * distributed under the License is distributed on an ""AS IS"" BASIS,
 * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
 * See the License for the specific language governing permissions and
 * limitations under the License.
 */",Comment
"
",Newline
"
",Newline
package,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
trevni,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
mapreduce,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
io,Identifier
.,Punctuation
IOException,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
io,Identifier
.,Punctuation
OutputStream,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
util,Identifier
.,Punctuation
Iterator,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
util,Identifier
.,Punctuation
Map,Identifier
.,Punctuation
Entry,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
Schema,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
reflect,Identifier
.,Punctuation
ReflectData,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
hadoop,Identifier
.,Punctuation
conf,Identifier
.,Punctuation
Configuration,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
hadoop,Identifier
.,Punctuation
fs,Identifier
.,Punctuation
FileSystem,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
hadoop,Identifier
.,Punctuation
fs,Identifier
.,Punctuation
Path,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
hadoop,Identifier
.,Punctuation
mapreduce,Identifier
.,Punctuation
RecordWriter,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
hadoop,Identifier
.,Punctuation
mapreduce,Identifier
.,Punctuation
TaskAttemptContext,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
hadoop,Identifier
.,Punctuation
mapreduce,Identifier
.,Punctuation
lib,Identifier
.,Punctuation
output,Identifier
.,Punctuation
FileOutputFormat,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
trevni,Identifier
.,Punctuation
ColumnFileMetaData,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
trevni,Identifier
.,Punctuation
MetaData,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
trevni,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
AvroColumnWriter,Identifier
;,Punctuation
"
",Newline
"
",Newline
"/**
 * Abstract base class for <code>RecordWriter</code>s that writes Trevni container files.
 *
 * @param <K> The type of key the record writer should generate.
 * @param <V> The type of value the record wrtier should generate.
 * @param <T> The type of the entries within the Trevni container file being writen.
 */",Comment
"
",Newline
public,Keyword
 ,Whitespace
abstract,Keyword
 ,Whitespace
class,Keyword
 ,Whitespace
AvroTrevniRecordWriterBase,Identifier
<,Operator
K,Identifier
",",Punctuation
V,Identifier
",",Punctuation
 ,Whitespace
T,Identifier
>,Operator
 ,Whitespace
extends,Keyword
 ,Whitespace
RecordWriter,Identifier
<,Operator
K,Identifier
",",Punctuation
 ,Whitespace
V,Identifier
>,Operator
 ,Whitespace
{,Punctuation
"
",Newline
  ,Whitespace
"
",Newline
  ,Whitespace
/** trevni file extension */,Comment
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
final,Keyword
 ,Whitespace
static,Keyword
 ,Whitespace
String,Identifier
 ,Whitespace
EXT,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
""".trv""",String
;,Punctuation
"
",Newline
  ,Whitespace
"
",Newline
  ,Whitespace
/** prefix of job configs that we care about */,Comment
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
static,Keyword
 ,Whitespace
final,Keyword
 ,Whitespace
String,Identifier
 ,Whitespace
META_PREFIX,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
"""trevni.meta.""",String
;,Punctuation
"
",Newline
  ,Whitespace
"
",Newline
  ,Whitespace
"/** Counter that increments as new trevni files are create because the current file 
   * has exceeded the block size 
   * */",Comment
"
",Newline
  ,Whitespace
protected,Keyword
 ,Whitespace
int,Keyword
 ,Whitespace
part,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
0,Literal
;,Punctuation
"
",Newline
"
",Newline
  ,Whitespace
/** Trevni file writer */,Comment
"
",Newline
  ,Whitespace
protected,Keyword
 ,Whitespace
AvroColumnWriter,Identifier
<,Operator
T,Identifier
>,Operator
 ,Whitespace
writer,Identifier
;,Punctuation
"
",Newline
"
",Newline
  ,Whitespace
/** This will be a unique directory linked to the task */,Comment
"
",Newline
  ,Whitespace
final,Keyword
 ,Whitespace
Path,Identifier
 ,Whitespace
dirPath,Identifier
;,Punctuation
"
",Newline
  ,Whitespace
"
",Newline
  ,Whitespace
/** HDFS object */,Comment
"
",Newline
  ,Whitespace
final,Keyword
 ,Whitespace
FileSystem,Identifier
 ,Whitespace
fs,Identifier
;,Punctuation
"
",Newline
"
",Newline
  ,Whitespace
/** Current configured blocksize */,Comment
"
",Newline
  ,Whitespace
final,Keyword
 ,Whitespace
long,Keyword
 ,Whitespace
blockSize,Identifier
;,Punctuation
"
",Newline
  ,Whitespace
"
",Newline
  ,Whitespace
/** Provided avro schema from the context */,Comment
"
",Newline
  ,Whitespace
protected,Keyword
 ,Whitespace
Schema,Identifier
 ,Whitespace
schema,Identifier
;,Punctuation
"
",Newline
  ,Whitespace
"
",Newline
  ,Whitespace
/** meta data to be stored in the output file.  */,Comment
"
",Newline
  ,Whitespace
protected,Keyword
 ,Whitespace
ColumnFileMetaData,Identifier
 ,Whitespace
meta,Identifier
;,Punctuation
"
",Newline
  ,Whitespace
"
",Newline
  ,Whitespace
"/**
   * Constructor.
   * @param context The TaskAttempContext to supply the writer with information form the job configuration
   */",Comment
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
AvroTrevniRecordWriterBase,Identifier
(,Punctuation
TaskAttemptContext,Identifier
 ,Whitespace
context,Identifier
),Punctuation
 ,Whitespace
throws,Keyword
 ,Whitespace
IOException,Identifier
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
"
",Newline
    ,Whitespace
schema,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
initSchema,Identifier
(,Punctuation
context,Identifier
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
meta,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
filterMetadata,Identifier
(,Punctuation
context,Identifier
.,Punctuation
getConfiguration,Identifier
(,Punctuation
),Punctuation
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
writer,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
new,Keyword
 ,Whitespace
AvroColumnWriter,Identifier
<,Operator
T,Identifier
>,Operator
(,Punctuation
schema,Identifier
",",Punctuation
 ,Whitespace
meta,Identifier
",",Punctuation
 ,Whitespace
ReflectData,Identifier
.,Punctuation
get,Identifier
(,Punctuation
),Punctuation
),Punctuation
;,Punctuation
"
",Newline
"
",Newline
    ,Whitespace
Path,Identifier
 ,Whitespace
outputPath,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
FileOutputFormat,Identifier
.,Punctuation
getOutputPath,Identifier
(,Punctuation
context,Identifier
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
"
",Newline
    ,Whitespace
String,Identifier
 ,Whitespace
dir,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
FileOutputFormat,Identifier
.,Punctuation
getUniqueFile,Identifier
(,Punctuation
context,Identifier
",",Punctuation
 ,Whitespace
"""part""",String
",",Punctuation
 ,Whitespace
"""""",String
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
dirPath,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
new,Keyword
 ,Whitespace
Path,Identifier
(,Punctuation
outputPath,Identifier
.,Punctuation
toString,Identifier
(,Punctuation
),Punctuation
 ,Whitespace
+,Operator
 ,Whitespace
"""/""",String
 ,Whitespace
+,Operator
 ,Whitespace
dir,Identifier
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
fs,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
dirPath,Identifier
.,Punctuation
getFileSystem,Identifier
(,Punctuation
context,Identifier
.,Punctuation
getConfiguration,Identifier
(,Punctuation
),Punctuation
),Punctuation
;,Punctuation
"
",Newline
    ,Whitespace
fs,Identifier
.,Punctuation
mkdirs,Identifier
(,Punctuation
dirPath,Identifier
),Punctuation
;,Punctuation
"
",Newline
"
",Newline
    ,Whitespace
blockSize,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
fs,Identifier
.,Punctuation
getDefaultBlockSize,Identifier
(,Punctuation
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
"/**
   * Use the task context to construct a schema for writing
   * @throws IOException
   */",Comment
"
",Newline
  ,Whitespace
abstract,Keyword
 ,Whitespace
protected,Keyword
  ,Whitespace
Schema,Identifier
 ,Whitespace
initSchema,Identifier
(,Punctuation
TaskAttemptContext,Identifier
 ,Whitespace
context,Identifier
),Punctuation
;,Punctuation
 ,Whitespace
"
",Newline
  ,Whitespace
"
",Newline
  ,Whitespace
"/**
   * A Trevni flush will close the current file and prep a new writer
   * @throws IOException
   */",Comment
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
void,Keyword
 ,Whitespace
flush,Identifier
(,Punctuation
),Punctuation
