Text,Token
"/**
 * Licensed to the Apache Software Foundation (ASF) under one
 * or more contributor license agreements.  See the NOTICE file
 * distributed with this work for additional information
 * regarding copyright ownership.  The ASF licenses this file
 * to you under the Apache License, Version 2.0 (the
 * ""License""); you may not use this file except in compliance
 * with the License.  You may obtain a copy of the License at
 *
 *     http://www.apache.org/licenses/LICENSE-2.0
 *
 * Unless required by applicable law or agreed to in writing, software
 * distributed under the License is distributed on an ""AS IS"" BASIS,
 * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
 * See the License for the specific language governing permissions and
 * limitations under the License.
 */",Comment
"
",Newline
"
",Newline
package,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
ipc,Identifier
.,Punctuation
reflect,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
java,Identifier
.,Punctuation
io,Identifier
.,Punctuation
IOException,Identifier
;,Punctuation
"
",Newline
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
Schema,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
Protocol,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
io,Identifier
.,Punctuation
Encoder,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
io,Identifier
.,Punctuation
DatumReader,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
io,Identifier
.,Punctuation
DatumWriter,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
ipc,Identifier
.,Punctuation
specific,Identifier
.,Punctuation
SpecificResponder,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
reflect,Identifier
.,Punctuation
ReflectData,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
reflect,Identifier
.,Punctuation
ReflectDatumReader,Identifier
;,Punctuation
"
",Newline
import,Keyword
 ,Whitespace
org,Identifier
.,Punctuation
apache,Identifier
.,Punctuation
avro,Identifier
.,Punctuation
reflect,Identifier
.,Punctuation
ReflectDatumWriter,Identifier
;,Punctuation
"
",Newline
"
",Newline
/** {@link org.apache.avro.ipc.Responder} for existing interfaces.*/,Comment
"
",Newline
public,Keyword
 ,Whitespace
class,Keyword
 ,Whitespace
ReflectResponder,Identifier
 ,Whitespace
extends,Keyword
 ,Whitespace
SpecificResponder,Identifier
 ,Whitespace
{,Punctuation
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
ReflectResponder,Identifier
(,Punctuation
Class,Identifier
 ,Whitespace
iface,Identifier
",",Punctuation
 ,Whitespace
Object,Identifier
 ,Whitespace
impl,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
this,Keyword
(,Punctuation
iface,Identifier
",",Punctuation
 ,Whitespace
impl,Identifier
",",Punctuation
 ,Whitespace
new,Keyword
 ,Whitespace
ReflectData,Identifier
(,Punctuation
impl,Identifier
.,Punctuation
getClass,Identifier
(,Punctuation
),Punctuation
.,Punctuation
getClassLoader,Identifier
(,Punctuation
),Punctuation
),Punctuation
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
  ,Whitespace
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
ReflectResponder,Identifier
(,Punctuation
Protocol,Identifier
 ,Whitespace
protocol,Identifier
",",Punctuation
 ,Whitespace
Object,Identifier
 ,Whitespace
impl,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
this,Keyword
(,Punctuation
protocol,Identifier
",",Punctuation
 ,Whitespace
impl,Identifier
",",Punctuation
 ,Whitespace
new,Keyword
 ,Whitespace
ReflectData,Identifier
(,Punctuation
impl,Identifier
.,Punctuation
getClass,Identifier
(,Punctuation
),Punctuation
.,Punctuation
getClassLoader,Identifier
(,Punctuation
),Punctuation
),Punctuation
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
ReflectResponder,Identifier
(,Punctuation
Class,Identifier
 ,Whitespace
iface,Identifier
",",Punctuation
 ,Whitespace
Object,Identifier
 ,Whitespace
impl,Identifier
",",Punctuation
 ,Whitespace
ReflectData,Identifier
 ,Whitespace
data,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
this,Keyword
(,Punctuation
data,Identifier
.,Punctuation
getProtocol,Identifier
(,Punctuation
iface,Identifier
),Punctuation
",",Punctuation
 ,Whitespace
impl,Identifier
",",Punctuation
 ,Whitespace
data,Identifier
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
ReflectResponder,Identifier
(,Punctuation
Protocol,Identifier
 ,Whitespace
protocol,Identifier
",",Punctuation
 ,Whitespace
Object,Identifier
 ,Whitespace
impl,Identifier
",",Punctuation
 ,Whitespace
ReflectData,Identifier
 ,Whitespace
data,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
super,Keyword
(,Punctuation
protocol,Identifier
",",Punctuation
 ,Whitespace
impl,Identifier
",",Punctuation
 ,Whitespace
data,Identifier
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
ReflectData,Identifier
 ,Whitespace
getReflectData,Identifier
(,Punctuation
),Punctuation
 ,Whitespace
{,Punctuation
 ,Whitespace
return,Keyword
 ,Whitespace
(,Punctuation
ReflectData,Identifier
),Punctuation
getSpecificData,Identifier
(,Punctuation
),Punctuation
;,Punctuation
 ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
@,Punctuation
Override,Identifier
"
",Newline
  ,Whitespace
protected,Keyword
 ,Whitespace
DatumWriter,Identifier
<,Operator
Object,Identifier
>,Operator
 ,Whitespace
getDatumWriter,Identifier
(,Punctuation
Schema,Identifier
 ,Whitespace
schema,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
return,Keyword
 ,Whitespace
new,Keyword
 ,Whitespace
ReflectDatumWriter,Identifier
<,Operator
Object,Identifier
>,Operator
(,Punctuation
schema,Identifier
",",Punctuation
 ,Whitespace
getReflectData,Identifier
(,Punctuation
),Punctuation
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
@,Punctuation
Override,Identifier
"
",Newline
  ,Whitespace
protected,Keyword
 ,Whitespace
DatumReader,Identifier
<,Operator
Object,Identifier
>,Operator
 ,Whitespace
getDatumReader,Identifier
(,Punctuation
Schema,Identifier
 ,Whitespace
actual,Identifier
",",Punctuation
 ,Whitespace
Schema,Identifier
 ,Whitespace
expected,Identifier
),Punctuation
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
return,Keyword
 ,Whitespace
new,Keyword
 ,Whitespace
ReflectDatumReader,Identifier
<,Operator
Object,Identifier
>,Operator
(,Punctuation
actual,Identifier
",",Punctuation
 ,Whitespace
expected,Identifier
",",Punctuation
 ,Whitespace
getReflectData,Identifier
(,Punctuation
),Punctuation
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
"
",Newline
  ,Whitespace
@,Punctuation
Override,Identifier
"
",Newline
  ,Whitespace
public,Keyword
 ,Whitespace
void,Keyword
 ,Whitespace
writeError,Identifier
(,Punctuation
Schema,Identifier
 ,Whitespace
schema,Identifier
",",Punctuation
 ,Whitespace
Object,Identifier
 ,Whitespace
error,Identifier
",",Punctuation
"
",Newline
                         ,Whitespace
Encoder,Identifier
 ,Whitespace
out,Identifier
),Punctuation
 ,Whitespace
throws,Keyword
 ,Whitespace
IOException,Identifier
 ,Whitespace
{,Punctuation
"
",Newline
    ,Whitespace
if,Keyword
 ,Whitespace
(,Punctuation
error,Identifier
 ,Whitespace
instanceof,Keyword
 ,Whitespace
CharSequence,Identifier
),Punctuation
"
",Newline
      ,Whitespace
error,Identifier
 ,Whitespace
=,Operator
 ,Whitespace
error,Identifier
.,Punctuation
toString,Identifier
(,Punctuation
),Punctuation
;,Punctuation
                   ,Whitespace
// system error: convert,Comment
"
",Newline
    ,Whitespace
super,Keyword
.,Punctuation
writeError,Identifier
(,Punctuation
schema,Identifier
",",Punctuation
 ,Whitespace
error,Identifier
",",Punctuation
 ,Whitespace
out,Identifier
),Punctuation
;,Punctuation
"
",Newline
  ,Whitespace
},Punctuation
"
",Newline
"
",Newline
"
",Newline
"
",Newline
},Punctuation
"
",Newline
